group,scenario,round,round_millis,metric,value
client,client/distinct_connect_timeouts/2,0,1.4345,cache_entries,3
client,client/distinct_connect_timeouts/2,0,1.4345,driver_threads,3
client,client/distinct_connect_timeouts/2,0,1.4345,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,0,1.4345,residual_released,1
client,client/distinct_connect_timeouts/2,0,1.4345,total,1.1358329999999999
client,client/distinct_connect_timeouts/2,1,1.3074,cache_entries,3
client,client/distinct_connect_timeouts/2,1,1.3074,driver_threads,3
client,client/distinct_connect_timeouts/2,1,1.3074,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,1,1.3074,residual_released,1
client,client/distinct_connect_timeouts/2,1,1.3074,total,0.980791
client,client/distinct_connect_timeouts/2,2,1.4615,cache_entries,3
client,client/distinct_connect_timeouts/2,2,1.4615,driver_threads,3
client,client/distinct_connect_timeouts/2,2,1.4615,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,2,1.4615,residual_released,1
client,client/distinct_connect_timeouts/2,2,1.4615,total,1.203083
client,client/distinct_connect_timeouts/2,3,1.0730,cache_entries,3
client,client/distinct_connect_timeouts/2,3,1.0730,driver_threads,3
client,client/distinct_connect_timeouts/2,3,1.0730,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,3,1.0730,residual_released,1
client,client/distinct_connect_timeouts/2,3,1.0730,total,0.8506250000000001
client,client/distinct_connect_timeouts/2,4,1.0844,cache_entries,3
client,client/distinct_connect_timeouts/2,4,1.0844,driver_threads,3
client,client/distinct_connect_timeouts/2,4,1.0844,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,4,1.0844,residual_released,1
client,client/distinct_connect_timeouts/2,4,1.0844,total,0.850542
client,client/distinct_connect_timeouts/2,5,1.0703,cache_entries,3
client,client/distinct_connect_timeouts/2,5,1.0703,driver_threads,3
client,client/distinct_connect_timeouts/2,5,1.0703,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,5,1.0703,residual_released,1
client,client/distinct_connect_timeouts/2,5,1.0703,total,0.8327500000000001
client,client/distinct_connect_timeouts/2,6,1.2299,cache_entries,3
client,client/distinct_connect_timeouts/2,6,1.2299,driver_threads,3
client,client/distinct_connect_timeouts/2,6,1.2299,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,6,1.2299,residual_released,1
client,client/distinct_connect_timeouts/2,6,1.2299,total,0.9904160000000001
client,client/distinct_connect_timeouts/2,7,1.1110,cache_entries,3
client,client/distinct_connect_timeouts/2,7,1.1110,driver_threads,3
client,client/distinct_connect_timeouts/2,7,1.1110,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,7,1.1110,residual_released,1
client,client/distinct_connect_timeouts/2,7,1.1110,total,0.856459
client,client/distinct_connect_timeouts/2,8,1.4517,cache_entries,3
client,client/distinct_connect_timeouts/2,8,1.4517,driver_threads,3
client,client/distinct_connect_timeouts/2,8,1.4517,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,8,1.4517,residual_released,1
client,client/distinct_connect_timeouts/2,8,1.4517,total,1.153958
client,client/distinct_connect_timeouts/2,9,1.1525,cache_entries,3
client,client/distinct_connect_timeouts/2,9,1.1525,driver_threads,3
client,client/distinct_connect_timeouts/2,9,1.1525,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,9,1.1525,residual_released,1
client,client/distinct_connect_timeouts/2,9,1.1525,total,0.8971250000000001
client,client/distinct_connect_timeouts/8,0,3.5956,cache_entries,9
client,client/distinct_connect_timeouts/8,0,3.5956,driver_threads,9
client,client/distinct_connect_timeouts/8,0,3.5956,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/8,0,3.5956,residual_released,1
client,client/distinct_connect_timeouts/8,0,3.5956,total,2.9381670000000004
client,client/distinct_connect_timeouts/8,1,3.1634,cache_entries,9
client,client/distinct_connect_timeouts/8,1,3.1634,driver_threads,9
client,client/distinct_connect_timeouts/8,1,3.1634,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/8,1,3.1634,residual_released,1
client,client/distinct_connect_timeouts/8,1,3.1634,total,2.473583
client,client/distinct_connect_timeouts/8,2,3.2482,cache_entries,9
client,client/distinct_connect_timeouts/8,2,3.2482,driver_threads,9
client,client/distinct_connect_timeouts/8,2,3.2482,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/8,2,3.2482,residual_released,1
client,client/distinct_connect_timeouts/8,2,3.2482,total,2.640333
client,client/distinct_connect_timeouts/8,3,10.9182,cache_entries,9
