group,scenario,round,round_millis,metric,value
client,client/distinct_connect_timeouts/2,0,0.7728,cache_entries,1
client,client/distinct_connect_timeouts/2,0,0.7728,driver_threads,1
client,client/distinct_connect_timeouts/2,0,0.7728,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,0,0.7728,residual_released,1
client,client/distinct_connect_timeouts/2,0,0.7728,total,0.5870829999999999
client,client/distinct_connect_timeouts/2,1,0.4753,cache_entries,1
client,client/distinct_connect_timeouts/2,1,0.4753,driver_threads,1
client,client/distinct_connect_timeouts/2,1,0.4753,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,1,0.4753,residual_released,1
client,client/distinct_connect_timeouts/2,1,0.4753,total,0.377042
client,client/distinct_connect_timeouts/2,2,0.6643,cache_entries,1
client,client/distinct_connect_timeouts/2,2,0.6643,driver_threads,1
client,client/distinct_connect_timeouts/2,2,0.6643,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,2,0.6643,residual_released,1
client,client/distinct_connect_timeouts/2,2,0.6643,total,0.46220799999999995
client,client/distinct_connect_timeouts/2,3,0.8180,cache_entries,1
client,client/distinct_connect_timeouts/2,3,0.8180,driver_threads,1
client,client/distinct_connect_timeouts/2,3,0.8180,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,3,0.8180,residual_released,1
client,client/distinct_connect_timeouts/2,3,0.8180,total,0.641208
client,client/distinct_connect_timeouts/2,4,0.7202,cache_entries,1
client,client/distinct_connect_timeouts/2,4,0.7202,driver_threads,1
client,client/distinct_connect_timeouts/2,4,0.7202,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,4,0.7202,residual_released,1
client,client/distinct_connect_timeouts/2,4,0.7202,total,0.582708
client,client/distinct_connect_timeouts/2,5,0.5583,cache_entries,1
client,client/distinct_connect_timeouts/2,5,0.5583,driver_threads,1
client,client/distinct_connect_timeouts/2,5,0.5583,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,5,0.5583,residual_released,1
client,client/distinct_connect_timeouts/2,5,0.5583,total,0.414083
client,client/distinct_connect_timeouts/2,6,0.5409,cache_entries,1
client,client/distinct_connect_timeouts/2,6,0.5409,driver_threads,1
client,client/distinct_connect_timeouts/2,6,0.5409,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,6,0.5409,residual_released,1
client,client/distinct_connect_timeouts/2,6,0.5409,total,0.436666
client,client/distinct_connect_timeouts/2,7,0.5079,cache_entries,1
client,client/distinct_connect_timeouts/2,7,0.5079,driver_threads,1
client,client/distinct_connect_timeouts/2,7,0.5079,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,7,0.5079,residual_released,1
client,client/distinct_connect_timeouts/2,7,0.5079,total,0.393416
client,client/distinct_connect_timeouts/2,8,0.4921,cache_entries,1
client,client/distinct_connect_timeouts/2,8,0.4921,driver_threads,1
client,client/distinct_connect_timeouts/2,8,0.4921,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,8,0.4921,residual_released,1
client,client/distinct_connect_timeouts/2,8,0.4921,total,0.382791
client,client/distinct_connect_timeouts/2,9,0.4964,cache_entries,1
client,client/distinct_connect_timeouts/2,9,0.4964,driver_threads,1
client,client/distinct_connect_timeouts/2,9,0.4964,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/2,9,0.4964,residual_released,1
client,client/distinct_connect_timeouts/2,9,0.4964,total,0.380334
client,client/distinct_connect_timeouts/8,0,0.4523,cache_entries,1
client,client/distinct_connect_timeouts/8,0,0.4523,driver_threads,1
client,client/distinct_connect_timeouts/8,0,0.4523,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/8,0,0.4523,residual_released,1
client,client/distinct_connect_timeouts/8,0,0.4523,total,0.352875
client,client/distinct_connect_timeouts/8,1,0.4694,cache_entries,1
client,client/distinct_connect_timeouts/8,1,0.4694,driver_threads,1
client,client/distinct_connect_timeouts/8,1,0.4694,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/8,1,0.4694,residual_released,1
client,client/distinct_connect_timeouts/8,1,0.4694,total,0.37512500000000004
client,client/distinct_connect_timeouts/8,2,0.4865,cache_entries,1
client,client/distinct_connect_timeouts/8,2,0.4865,driver_threads,1
client,client/distinct_connect_timeouts/8,2,0.4865,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/8,2,0.4865,residual_released,1
client,client/distinct_connect_timeouts/8,2,0.4865,total,0.382292
client,client/distinct_connect_timeouts/8,3,0.5028,cache_entries,1
client,client/distinct_connect_timeouts/8,3,0.5028,driver_threads,1
client,client/distinct_connect_timeouts/8,3,0.5028,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/8,3,0.5028,residual_released,1
client,client/distinct_connect_timeouts/8,3,0.5028,total,0.403208
client,client/distinct_connect_timeouts/8,4,0.4525,cache_entries,1
client,client/distinct_connect_timeouts/8,4,0.4525,driver_threads,1
client,client/distinct_connect_timeouts/8,4,0.4525,driver_threads_after_drop,0
client,client/distinct_connect_timeouts/8,4,0.4525,residual_released,1
client,client/distinct_connect_timeouts/8,4,0.4525,total,0.343959
client,client/distinct_connect_timeouts/8,5,0.5171,cache_entries,1
client,client/distinct_connect_timeouts/8,5,0.5171,driver_threads,1
client,client/distinct_connect_timeouts/8,5,0.5171,driver_threads_after_drop,0
