group,scenario,round,round_millis,metric,value
writer,writer/split_4conns_16KiB_chunks,0,119.8155,avg_block_bytes,1048576
writer,writer/split_4conns_16KiB_chunks,0,119.8155,body_reads,779
writer,writer/split_4conns_16KiB_chunks,0,119.8155,body_wait_ms,209.326
writer,writer/split_4conns_16KiB_chunks,0,119.8155,cache_copied_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,119.8155,cache_evicted_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,119.8155,checksum_ms,0
writer,writer/split_4conns_16KiB_chunks,0,119.8155,cpu_ms,38.798
writer,writer/split_4conns_16KiB_chunks,0,119.8155,cpu_percent,32.38144207019021
writer,writer/split_4conns_16KiB_chunks,0,119.8155,distinct_ranges,5
writer,writer/split_4conns_16KiB_chunks,0,119.8155,duplicate_bytes,0
writer,writer/split_4conns_16KiB_chunks,0,119.8155,failed,0
writer,writer/split_4conns_16KiB_chunks,0,119.8155,file_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,119.8155,finalize,0.017916999999982863
writer,writer/split_4conns_16KiB_chunks,0,119.8155,fsync_calls,1
writer,writer/split_4conns_16KiB_chunks,0,119.8155,fsync_ms,6.068
writer,writer/split_4conns_16KiB_chunks,0,119.8155,prealloc_ms,0.185
writer,writer/split_4conns_16KiB_chunks,0,119.8155,process_peak_rss_bytes,50413568
writer,writer/split_4conns_16KiB_chunks,0,119.8155,report_span,0
writer,writer/split_4conns_16KiB_chunks,0,119.8155,requests,5
writer,writer/split_4conns_16KiB_chunks,0,119.8155,response_head_ms,101.354
writer,writer/split_4conns_16KiB_chunks,0,119.8155,response_heads,5
writer,writer/split_4conns_16KiB_chunks,0,119.8155,running_reports,1
writer,writer/split_4conns_16KiB_chunks,0,119.8155,served_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,119.8155,to_first_report,114.34908300000001
writer,writer/split_4conns_16KiB_chunks,0,119.8155,total,114.36699999999999
writer,writer/split_4conns_16KiB_chunks,0,119.8155,unique_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,119.8155,verified,1
writer,writer/split_4conns_16KiB_chunks,0,119.8155,writer_blocks,12
writer,writer/split_4conns_16KiB_chunks,0,119.8155,writer_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,119.8155,writer_seeks,11
