group,scenario,round,round_millis,metric,value
writer,writer/split_4conns_16KiB_chunks,0,216.4821,avg_block_bytes,1048576
writer,writer/split_4conns_16KiB_chunks,0,216.4821,body_reads,785
writer,writer/split_4conns_16KiB_chunks,0,216.4821,body_wait_ms,202.597
writer,writer/split_4conns_16KiB_chunks,0,216.4821,cache_copied_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,216.4821,cache_evicted_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,216.4821,checksum_ms,0
writer,writer/split_4conns_16KiB_chunks,0,216.4821,distinct_ranges,4
writer,writer/split_4conns_16KiB_chunks,0,216.4821,duplicate_bytes,0
writer,writer/split_4conns_16KiB_chunks,0,216.4821,failed,0
writer,writer/split_4conns_16KiB_chunks,0,216.4821,file_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,216.4821,finalize,0.006832999999971889
writer,writer/split_4conns_16KiB_chunks,0,216.4821,fsync_calls,1
writer,writer/split_4conns_16KiB_chunks,0,216.4821,fsync_ms,10.746
writer,writer/split_4conns_16KiB_chunks,0,216.4821,prealloc_ms,0.141
writer,writer/split_4conns_16KiB_chunks,0,216.4821,report_span,10.958917000000014
writer,writer/split_4conns_16KiB_chunks,0,216.4821,requests,4
writer,writer/split_4conns_16KiB_chunks,0,216.4821,response_head_ms,76.14
writer,writer/split_4conns_16KiB_chunks,0,216.4821,response_heads,4
writer,writer/split_4conns_16KiB_chunks,0,216.4821,running_reports,2
writer,writer/split_4conns_16KiB_chunks,0,216.4821,served_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,216.4821,to_first_report,203.1565
writer,writer/split_4conns_16KiB_chunks,0,216.4821,total,214.12224999999998
writer,writer/split_4conns_16KiB_chunks,0,216.4821,unique_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,216.4821,verified,1
writer,writer/split_4conns_16KiB_chunks,0,216.4821,writer_blocks,12
writer,writer/split_4conns_16KiB_chunks,0,216.4821,writer_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,216.4821,writer_seeks,5
writer,writer/split_4conns_16KiB_chunks,1,139.5933,avg_block_bytes,1048576
writer,writer/split_4conns_16KiB_chunks,1,139.5933,body_reads,780
writer,writer/split_4conns_16KiB_chunks,1,139.5933,body_wait_ms,223.487
writer,writer/split_4conns_16KiB_chunks,1,139.5933,cache_copied_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,139.5933,cache_evicted_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,139.5933,checksum_ms,0
writer,writer/split_4conns_16KiB_chunks,1,139.5933,distinct_ranges,4
writer,writer/split_4conns_16KiB_chunks,1,139.5933,duplicate_bytes,0
writer,writer/split_4conns_16KiB_chunks,1,139.5933,failed,0
writer,writer/split_4conns_16KiB_chunks,1,139.5933,file_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,139.5933,fsync_calls,1
writer,writer/split_4conns_16KiB_chunks,1,139.5933,fsync_ms,8.585
writer,writer/split_4conns_16KiB_chunks,1,139.5933,prealloc_ms,0.889
writer,writer/split_4conns_16KiB_chunks,1,139.5933,requests,4
writer,writer/split_4conns_16KiB_chunks,1,139.5933,response_head_ms,74.939
writer,writer/split_4conns_16KiB_chunks,1,139.5933,response_heads,4
writer,writer/split_4conns_16KiB_chunks,1,139.5933,running_reports,0
writer,writer/split_4conns_16KiB_chunks,1,139.5933,served_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,139.5933,total,135.24087500000002
writer,writer/split_4conns_16KiB_chunks,1,139.5933,unique_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,139.5933,verified,1
writer,writer/split_4conns_16KiB_chunks,1,139.5933,writer_blocks,12
writer,writer/split_4conns_16KiB_chunks,1,139.5933,writer_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,139.5933,writer_seeks,11
writer,writer/split_4conns_16KiB_chunks,2,89.3295,avg_block_bytes,1048576
writer,writer/split_4conns_16KiB_chunks,2,89.3295,body_reads,780
writer,writer/split_4conns_16KiB_chunks,2,89.3295,body_wait_ms,153.976
writer,writer/split_4conns_16KiB_chunks,2,89.3295,cache_copied_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,2,89.3295,cache_evicted_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,2,89.3295,checksum_ms,0
writer,writer/split_4conns_16KiB_chunks,2,89.3295,distinct_ranges,4
writer,writer/split_4conns_16KiB_chunks,2,89.3295,duplicate_bytes,0
writer,writer/split_4conns_16KiB_chunks,2,89.3295,failed,0
writer,writer/split_4conns_16KiB_chunks,2,89.3295,file_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,2,89.3295,finalize,0.006040999999996188
writer,writer/split_4conns_16KiB_chunks,2,89.3295,fsync_calls,1
writer,writer/split_4conns_16KiB_chunks,2,89.3295,fsync_ms,7.036
writer,writer/split_4conns_16KiB_chunks,2,89.3295,prealloc_ms,0.162
writer,writer/split_4conns_16KiB_chunks,2,89.3295,report_span,0
writer,writer/split_4conns_16KiB_chunks,2,89.3295,requests,4
writer,writer/split_4conns_16KiB_chunks,2,89.3295,response_head_ms,2.285
writer,writer/split_4conns_16KiB_chunks,2,89.3295,response_heads,4
writer,writer/split_4conns_16KiB_chunks,2,89.3295,running_reports,1
writer,writer/split_4conns_16KiB_chunks,2,89.3295,served_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,2,89.3295,to_first_report,87.0125
writer,writer/split_4conns_16KiB_chunks,2,89.3295,total,87.018541
writer,writer/split_4conns_16KiB_chunks,2,89.3295,unique_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,2,89.3295,verified,1
writer,writer/split_4conns_16KiB_chunks,2,89.3295,writer_blocks,12
writer,writer/split_4conns_16KiB_chunks,2,89.3295,writer_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,2,89.3295,writer_seeks,12
writer,writer/split_4conns_16KiB_chunks,3,43.5967,avg_block_bytes,1048576
writer,writer/split_4conns_16KiB_chunks,3,43.5967,body_reads,784
writer,writer/split_4conns_16KiB_chunks,3,43.5967,body_wait_ms,29.309
writer,writer/split_4conns_16KiB_chunks,3,43.5967,cache_copied_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,3,43.5967,cache_evicted_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,3,43.5967,checksum_ms,0
writer,writer/split_4conns_16KiB_chunks,3,43.5967,distinct_ranges,4
writer,writer/split_4conns_16KiB_chunks,3,43.5967,duplicate_bytes,0
writer,writer/split_4conns_16KiB_chunks,3,43.5967,failed,0
writer,writer/split_4conns_16KiB_chunks,3,43.5967,file_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,3,43.5967,fsync_calls,1
writer,writer/split_4conns_16KiB_chunks,3,43.5967,fsync_ms,13.686
writer,writer/split_4conns_16KiB_chunks,3,43.5967,prealloc_ms,0.736
writer,writer/split_4conns_16KiB_chunks,3,43.5967,requests,4
writer,writer/split_4conns_16KiB_chunks,3,43.5967,response_head_ms,71.824
writer,writer/split_4conns_16KiB_chunks,3,43.5967,response_heads,4
writer,writer/split_4conns_16KiB_chunks,3,43.5967,running_reports,0
