group,scenario,round,round_millis,metric,value
writer,writer/split_4conns_16KiB_chunks,0,154.9420,avg_block_bytes,1048576
writer,writer/split_4conns_16KiB_chunks,0,154.9420,body_reads,782
writer,writer/split_4conns_16KiB_chunks,0,154.9420,body_wait_ms,212.432
writer,writer/split_4conns_16KiB_chunks,0,154.9420,cache_copied_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,154.9420,cache_evicted_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,154.9420,checksum_ms,0
writer,writer/split_4conns_16KiB_chunks,0,154.9420,cpu_ms,29.680000000000003
writer,writer/split_4conns_16KiB_chunks,0,154.9420,cpu_percent,19.155560174346064
writer,writer/split_4conns_16KiB_chunks,0,154.9420,distinct_ranges,4
writer,writer/split_4conns_16KiB_chunks,0,154.9420,duplicate_bytes,0
writer,writer/split_4conns_16KiB_chunks,0,154.9420,failed,0
writer,writer/split_4conns_16KiB_chunks,0,154.9420,file_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,154.9420,finalize,0.01737499999998704
writer,writer/split_4conns_16KiB_chunks,0,154.9420,fsync_calls,1
writer,writer/split_4conns_16KiB_chunks,0,154.9420,fsync_ms,6.901
writer,writer/split_4conns_16KiB_chunks,0,154.9420,prealloc_ms,0.098
writer,writer/split_4conns_16KiB_chunks,0,154.9420,process_peak_rss_bytes,50233344
writer,writer/split_4conns_16KiB_chunks,0,154.9420,report_span,0
writer,writer/split_4conns_16KiB_chunks,0,154.9420,requests,4
writer,writer/split_4conns_16KiB_chunks,0,154.9420,response_head_ms,2.264
writer,writer/split_4conns_16KiB_chunks,0,154.9420,response_heads,4
writer,writer/split_4conns_16KiB_chunks,0,154.9420,running_reports,1
writer,writer/split_4conns_16KiB_chunks,0,154.9420,served_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,154.9420,to_first_report,149.204417
writer,writer/split_4conns_16KiB_chunks,0,154.9420,total,149.221792
writer,writer/split_4conns_16KiB_chunks,0,154.9420,unique_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,154.9420,verified,1
writer,writer/split_4conns_16KiB_chunks,0,154.9420,writer_blocks,12
writer,writer/split_4conns_16KiB_chunks,0,154.9420,writer_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,154.9420,writer_seeks,12
writer,writer/split_4conns_16KiB_chunks,1,163.1312,avg_block_bytes,1048576
writer,writer/split_4conns_16KiB_chunks,1,163.1312,body_reads,782
writer,writer/split_4conns_16KiB_chunks,1,163.1312,body_wait_ms,263.154
writer,writer/split_4conns_16KiB_chunks,1,163.1312,cache_copied_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,163.1312,cache_evicted_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,163.1312,checksum_ms,0
writer,writer/split_4conns_16KiB_chunks,1,163.1312,cpu_ms,38.043
writer,writer/split_4conns_16KiB_chunks,1,163.1312,cpu_percent,23.32049767044209
writer,writer/split_4conns_16KiB_chunks,1,163.1312,distinct_ranges,4
writer,writer/split_4conns_16KiB_chunks,1,163.1312,duplicate_bytes,0
writer,writer/split_4conns_16KiB_chunks,1,163.1312,failed,0
writer,writer/split_4conns_16KiB_chunks,1,163.1312,file_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,163.1312,finalize,0.01320799999996325
writer,writer/split_4conns_16KiB_chunks,1,163.1312,fsync_calls,1
writer,writer/split_4conns_16KiB_chunks,1,163.1312,fsync_ms,7.415
writer,writer/split_4conns_16KiB_chunks,1,163.1312,prealloc_ms,0.229
writer,writer/split_4conns_16KiB_chunks,1,163.1312,process_peak_rss_bytes,54689792
writer,writer/split_4conns_16KiB_chunks,1,163.1312,report_span,0
writer,writer/split_4conns_16KiB_chunks,1,163.1312,requests,4
writer,writer/split_4conns_16KiB_chunks,1,163.1312,response_head_ms,78.287
writer,writer/split_4conns_16KiB_chunks,1,163.1312,response_heads,4
writer,writer/split_4conns_16KiB_chunks,1,163.1312,running_reports,1
writer,writer/split_4conns_16KiB_chunks,1,163.1312,served_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,163.1312,to_first_report,156.38766700000002
