group,scenario,round,round_millis,metric,value
writer,writer/split_4conns_16KiB_chunks,0,228.8271,avg_block_bytes,1048576
writer,writer/split_4conns_16KiB_chunks,0,228.8271,body_reads,777
writer,writer/split_4conns_16KiB_chunks,0,228.8271,body_wait_ms,214.452
writer,writer/split_4conns_16KiB_chunks,0,228.8271,cache_copied_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,228.8271,cache_evicted_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,228.8271,checksum_ms,0
writer,writer/split_4conns_16KiB_chunks,0,228.8271,distinct_ranges,4
writer,writer/split_4conns_16KiB_chunks,0,228.8271,duplicate_bytes,0
writer,writer/split_4conns_16KiB_chunks,0,228.8271,failed,0
writer,writer/split_4conns_16KiB_chunks,0,228.8271,file_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,228.8271,finalize,0.018207999999987123
writer,writer/split_4conns_16KiB_chunks,0,228.8271,fsync_calls,1
writer,writer/split_4conns_16KiB_chunks,0,228.8271,fsync_ms,4.143
writer,writer/split_4conns_16KiB_chunks,0,228.8271,prealloc_ms,0.154
writer,writer/split_4conns_16KiB_chunks,0,228.8271,report_span,16.63825
writer,writer/split_4conns_16KiB_chunks,0,228.8271,requests,4
writer,writer/split_4conns_16KiB_chunks,0,228.8271,response_head_ms,73.292
writer,writer/split_4conns_16KiB_chunks,0,228.8271,response_heads,4
writer,writer/split_4conns_16KiB_chunks,0,228.8271,running_reports,2
writer,writer/split_4conns_16KiB_chunks,0,228.8271,served_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,228.8271,to_first_report,204.1395
writer,writer/split_4conns_16KiB_chunks,0,228.8271,total,220.79595799999998
writer,writer/split_4conns_16KiB_chunks,0,228.8271,unique_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,228.8271,verified,1
writer,writer/split_4conns_16KiB_chunks,0,228.8271,writer_blocks,12
writer,writer/split_4conns_16KiB_chunks,0,228.8271,writer_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,236.1757,avg_block_bytes,1048576
writer,writer/split_4conns_16KiB_chunks,1,236.1757,body_reads,779
writer,writer/split_4conns_16KiB_chunks,1,236.1757,body_wait_ms,225.72
writer,writer/split_4conns_16KiB_chunks,1,236.1757,cache_copied_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,236.1757,cache_evicted_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,236.1757,checksum_ms,0
writer,writer/split_4conns_16KiB_chunks,1,236.1757,distinct_ranges,4
writer,writer/split_4conns_16KiB_chunks,1,236.1757,duplicate_bytes,0
writer,writer/split_4conns_16KiB_chunks,1,236.1757,failed,0
writer,writer/split_4conns_16KiB_chunks,1,236.1757,file_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,236.1757,finalize,0.030666999999994005
writer,writer/split_4conns_16KiB_chunks,1,236.1757,fsync_calls,1
writer,writer/split_4conns_16KiB_chunks,1,236.1757,fsync_ms,5.727
writer,writer/split_4conns_16KiB_chunks,1,236.1757,prealloc_ms,0.175
writer,writer/split_4conns_16KiB_chunks,1,236.1757,report_span,27.194833000000017
writer,writer/split_4conns_16KiB_chunks,1,236.1757,requests,4
writer,writer/split_4conns_16KiB_chunks,1,236.1757,response_head_ms,74.026
writer,writer/split_4conns_16KiB_chunks,1,236.1757,response_heads,4
writer,writer/split_4conns_16KiB_chunks,1,236.1757,running_reports,2
writer,writer/split_4conns_16KiB_chunks,1,236.1757,served_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,1,236.1757,to_first_report,203.69858299999999
