group,scenario,round,round_millis,metric,value
storage,storage/io/tokio_seek_16KiB,0,108.5124,cpu_ms,92.21499999999999
storage,storage/io/tokio_seek_16KiB,0,108.5124,cpu_percent,84.98109086636431
storage,storage/io/tokio_seek_16KiB,0,108.5124,process_peak_rss_bytes,179912704
storage,storage/io/tokio_seek_16KiB,0,108.5124,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,0,108.5124,total,87.986459
storage,storage/io/tokio_seek_16KiB,0,108.5124,verified,1
storage,storage/io/tokio_seek_16KiB,0,108.5124,write_calls,4096
storage,storage/io/tokio_seek_16KiB,1,124.8208,cpu_ms,91.079
storage,storage/io/tokio_seek_16KiB,1,124.8208,cpu_percent,72.96778677187815
storage,storage/io/tokio_seek_16KiB,1,124.8208,process_peak_rss_bytes,179912704
storage,storage/io/tokio_seek_16KiB,1,124.8208,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,1,124.8208,total,115.414625
storage,storage/io/tokio_seek_16KiB,1,124.8208,verified,1
storage,storage/io/tokio_seek_16KiB,1,124.8208,write_calls,4096
storage,storage/io/tokio_seek_16KiB,2,119.0849,cpu_ms,96.457
storage,storage/io/tokio_seek_16KiB,2,119.0849,cpu_percent,80.99850294223238
storage,storage/io/tokio_seek_16KiB,2,119.0849,process_peak_rss_bytes,179912704
storage,storage/io/tokio_seek_16KiB,2,119.0849,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,2,119.0849,total,110.635125
storage,storage/io/tokio_seek_16KiB,2,119.0849,verified,1
storage,storage/io/tokio_seek_16KiB,2,119.0849,write_calls,4096
storage,storage/io/tokio_seek_16KiB,3,161.5270,cpu_ms,104.78599999999999
storage,storage/io/tokio_seek_16KiB,3,161.5270,cpu_percent,64.87212664136645
storage,storage/io/tokio_seek_16KiB,3,161.5270,process_peak_rss_bytes,179912704
storage,storage/io/tokio_seek_16KiB,3,161.5270,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,3,161.5270,total,152.442792
storage,storage/io/tokio_seek_16KiB,3,161.5270,verified,1
storage,storage/io/tokio_seek_16KiB,3,161.5270,write_calls,4096
storage,storage/io/tokio_seek_16KiB,4,89.5333,cpu_ms,77.06300000000005
storage,storage/io/tokio_seek_16KiB,4,89.5333,cpu_percent,86.0718937934283
storage,storage/io/tokio_seek_16KiB,4,89.5333,process_peak_rss_bytes,179912704
storage,storage/io/tokio_seek_16KiB,4,89.5333,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,4,89.5333,total,81.125291
storage,storage/io/tokio_seek_16KiB,4,89.5333,verified,1
storage,storage/io/tokio_seek_16KiB,4,89.5333,write_calls,4096
storage,storage/io/tokio_seek_16KiB,5,89.3197,cpu_ms,80.24700000000007
storage,storage/io/tokio_seek_16KiB,5,89.3197,cpu_percent,89.84239208013913
storage,storage/io/tokio_seek_16KiB,5,89.3197,process_peak_rss_bytes,179912704
storage,storage/io/tokio_seek_16KiB,5,89.3197,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,5,89.3197,total,80.382084
storage,storage/io/tokio_seek_16KiB,5,89.3197,verified,1
storage,storage/io/tokio_seek_16KiB,5,89.3197,write_calls,4096
storage,storage/io/tokio_seek_16KiB,6,186.1531,cpu_ms,118.47599999999991
storage,storage/io/tokio_seek_16KiB,6,186.1531,cpu_percent,63.64437878762439
storage,storage/io/tokio_seek_16KiB,6,186.1531,process_peak_rss_bytes,179912704
storage,storage/io/tokio_seek_16KiB,6,186.1531,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,6,186.1531,total,171.58962499999998
