group,scenario,round,round_millis,metric,value
storage,storage/io/tokio_seek_16KiB,0,107.8257,cpu_ms,92.41000000000001
storage,storage/io/tokio_seek_16KiB,0,107.8257,cpu_percent,85.70312299082589
storage,storage/io/tokio_seek_16KiB,0,107.8257,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,0,107.8257,total,86.86120799999999
storage,storage/io/tokio_seek_16KiB,0,107.8257,verified,1
storage,storage/io/tokio_seek_16KiB,0,107.8257,write_calls,4096
storage,storage/io/tokio_seek_16KiB,1,82.4592,cpu_ms,78.602
storage,storage/io/tokio_seek_16KiB,1,82.4592,cpu_percent,95.32223492209789
storage,storage/io/tokio_seek_16KiB,1,82.4592,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,1,82.4592,total,75.745458
storage,storage/io/tokio_seek_16KiB,1,82.4592,verified,1
storage,storage/io/tokio_seek_16KiB,1,82.4592,write_calls,4096
storage,storage/io/tokio_seek_16KiB,2,86.1485,cpu_ms,78.983
storage,storage/io/tokio_seek_16KiB,2,86.1485,cpu_percent,91.68238564803798
storage,storage/io/tokio_seek_16KiB,2,86.1485,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,2,86.1485,total,78.577833
storage,storage/io/tokio_seek_16KiB,2,86.1485,verified,1
storage,storage/io/tokio_seek_16KiB,2,86.1485,write_calls,4096
storage,storage/io/tokio_seek_16KiB,3,86.7233,cpu_ms,79.94299999999998
storage,storage/io/tokio_seek_16KiB,3,86.7233,cpu_percent,92.18169439416575
storage,storage/io/tokio_seek_16KiB,3,86.7233,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,3,86.7233,total,78.30145800000001
storage,storage/io/tokio_seek_16KiB,3,86.7233,verified,1
storage,storage/io/tokio_seek_16KiB,3,86.7233,write_calls,4096
storage,storage/io/tokio_seek_16KiB,4,88.4288,cpu_ms,81.61399999999996
storage,storage/io/tokio_seek_16KiB,4,88.4288,cpu_percent,92.29342546798702
storage,storage/io/tokio_seek_16KiB,4,88.4288,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,4,88.4288,total,79.412291
storage,storage/io/tokio_seek_16KiB,4,88.4288,verified,1
storage,storage/io/tokio_seek_16KiB,4,88.4288,write_calls,4096
storage,storage/io/tokio_seek_16KiB,5,81.2876,cpu_ms,79.37499999999997
storage,storage/io/tokio_seek_16KiB,5,81.2876,cpu_percent,97.64708957851822
storage,storage/io/tokio_seek_16KiB,5,81.2876,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,5,81.2876,total,72.004417
storage,storage/io/tokio_seek_16KiB,5,81.2876,verified,1
storage,storage/io/tokio_seek_16KiB,5,81.2876,write_calls,4096
storage,storage/io/tokio_seek_16KiB,6,85.4916,cpu_ms,78.78799999999997
storage,storage/io/tokio_seek_16KiB,6,85.4916,cpu_percent,92.15878012224896
storage,storage/io/tokio_seek_16KiB,6,85.4916,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,6,85.4916,total,77.69775
storage,storage/io/tokio_seek_16KiB,6,85.4916,verified,1
storage,storage/io/tokio_seek_16KiB,6,85.4916,write_calls,4096
storage,storage/io/tokio_seek_16KiB,7,81.7309,cpu_ms,78.395
storage,storage/io/tokio_seek_16KiB,7,81.7309,cpu_percent,95.91841481480013
storage,storage/io/tokio_seek_16KiB,7,81.7309,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,7,81.7309,total,74.38020900000001
storage,storage/io/tokio_seek_16KiB,7,81.7309,verified,1
storage,storage/io/tokio_seek_16KiB,7,81.7309,write_calls,4096
storage,storage/io/tokio_seek_16KiB,8,83.0423,cpu_ms,79.39799999999997
storage,storage/io/tokio_seek_16KiB,8,83.0423,cpu_percent,95.61147565543465
storage,storage/io/tokio_seek_16KiB,8,83.0423,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,8,83.0423,total,75.607542
storage,storage/io/tokio_seek_16KiB,8,83.0423,verified,1
storage,storage/io/tokio_seek_16KiB,8,83.0423,write_calls,4096
storage,storage/io/tokio_seek_16KiB,9,79.3557,cpu_ms,76.94900000000004
storage,storage/io/tokio_seek_16KiB,9,79.3557,cpu_percent,96.96718980819887
storage,storage/io/tokio_seek_16KiB,9,79.3557,seek_calls,4096
storage,storage/io/tokio_seek_16KiB,9,79.3557,total,72.63391600000001
storage,storage/io/tokio_seek_16KiB,9,79.3557,verified,1
storage,storage/io/tokio_seek_16KiB,9,79.3557,write_calls,4096
storage,storage/io/tokio_sequential_16KiB,0,47.1457,cpu_ms,43.00199999999998
storage,storage/io/tokio_sequential_16KiB,0,47.1457,cpu_percent,91.21092912336836
storage,storage/io/tokio_sequential_16KiB,0,47.1457,seek_calls,0
