group,scenario,round,round_millis,metric,value
writer,writer/split_4conns_16KiB_chunks,0,210.9796,avg_block_bytes,1048576
writer,writer/split_4conns_16KiB_chunks,0,210.9796,body_reads,783
writer,writer/split_4conns_16KiB_chunks,0,210.9796,body_wait_ms,202.757
writer,writer/split_4conns_16KiB_chunks,0,210.9796,cache_copied_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,210.9796,cache_evicted_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,210.9796,checksum_ms,0
writer,writer/split_4conns_16KiB_chunks,0,210.9796,cpu_ms,20.246
writer,writer/split_4conns_16KiB_chunks,0,210.9796,cpu_percent,9.59618917439898
writer,writer/split_4conns_16KiB_chunks,0,210.9796,distinct_ranges,4
writer,writer/split_4conns_16KiB_chunks,0,210.9796,driver_connections,4
writer,writer/split_4conns_16KiB_chunks,0,210.9796,driver_loops,95
writer,writer/split_4conns_16KiB_chunks,0,210.9796,driver_pauses,8
writer,writer/split_4conns_16KiB_chunks,0,210.9796,duplicate_bytes,0
writer,writer/split_4conns_16KiB_chunks,0,210.9796,failed,0
writer,writer/split_4conns_16KiB_chunks,0,210.9796,file_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,210.9796,finalize,0.0003749999999911324
writer,writer/split_4conns_16KiB_chunks,0,210.9796,fsync_calls,1
writer,writer/split_4conns_16KiB_chunks,0,210.9796,fsync_ms,4.818
writer,writer/split_4conns_16KiB_chunks,0,210.9796,prealloc_ms,0.089
writer,writer/split_4conns_16KiB_chunks,0,210.9796,process_peak_rss_bytes,49938432
writer,writer/split_4conns_16KiB_chunks,0,210.9796,report_span,5.057333
writer,writer/split_4conns_16KiB_chunks,0,210.9796,requests,4
writer,writer/split_4conns_16KiB_chunks,0,210.9796,response_head_ms,74.58
writer,writer/split_4conns_16KiB_chunks,0,210.9796,response_heads,4
writer,writer/split_4conns_16KiB_chunks,0,210.9796,running_reports,2
writer,writer/split_4conns_16KiB_chunks,0,210.9796,served_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,210.9796,to_first_report,202.681
writer,writer/split_4conns_16KiB_chunks,0,210.9796,total,207.738708
writer,writer/split_4conns_16KiB_chunks,0,210.9796,unique_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,210.9796,verified,1
writer,writer/split_4conns_16KiB_chunks,0,210.9796,writer_blocks,12
writer,writer/split_4conns_16KiB_chunks,0,210.9796,writer_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,210.9796,writer_seeks,1
writer,writer/split_4conns_1MiB_chunks,0,35.6127,avg_block_bytes,1048576
writer,writer/split_4conns_1MiB_chunks,0,35.6127,body_reads,783
writer,writer/split_4conns_1MiB_chunks,0,35.6127,body_wait_ms,29.412
writer,writer/split_4conns_1MiB_chunks,0,35.6127,cache_copied_bytes,12582912
writer,writer/split_4conns_1MiB_chunks,0,35.6127,cache_evicted_bytes,12582912
writer,writer/split_4conns_1MiB_chunks,0,35.6127,checksum_ms,0
writer,writer/split_4conns_1MiB_chunks,0,35.6127,cpu_ms,12.959999999999999
writer,writer/split_4conns_1MiB_chunks,0,35.6127,cpu_percent,36.39146092340524
writer,writer/split_4conns_1MiB_chunks,0,35.6127,distinct_ranges,4
writer,writer/split_4conns_1MiB_chunks,0,35.6127,driver_connections,4
writer,writer/split_4conns_1MiB_chunks,0,35.6127,driver_loops,93
writer,writer/split_4conns_1MiB_chunks,0,35.6127,driver_pauses,7
writer,writer/split_4conns_1MiB_chunks,0,35.6127,duplicate_bytes,0
writer,writer/split_4conns_1MiB_chunks,0,35.6127,failed,0
writer,writer/split_4conns_1MiB_chunks,0,35.6127,file_bytes,12582912
writer,writer/split_4conns_1MiB_chunks,0,35.6127,finalize,0.0009580000000042332
writer,writer/split_4conns_1MiB_chunks,0,35.6127,fsync_calls,1
writer,writer/split_4conns_1MiB_chunks,0,35.6127,fsync_ms,4.61
writer,writer/split_4conns_1MiB_chunks,0,35.6127,prealloc_ms,0.069
writer,writer/split_4conns_1MiB_chunks,0,35.6127,process_peak_rss_bytes,57556992
writer,writer/split_4conns_1MiB_chunks,0,35.6127,report_span,0
writer,writer/split_4conns_1MiB_chunks,0,35.6127,requests,4
writer,writer/split_4conns_1MiB_chunks,0,35.6127,response_head_ms,1.273
writer,writer/split_4conns_1MiB_chunks,0,35.6127,response_heads,4
writer,writer/split_4conns_1MiB_chunks,0,35.6127,running_reports,1
writer,writer/split_4conns_1MiB_chunks,0,35.6127,served_bytes,12582912
writer,writer/split_4conns_1MiB_chunks,0,35.6127,to_first_report,33.304041999999995
writer,writer/split_4conns_1MiB_chunks,0,35.6127,total,33.305
writer,writer/split_4conns_1MiB_chunks,0,35.6127,unique_bytes,12582912
writer,writer/split_4conns_1MiB_chunks,0,35.6127,verified,1
writer,writer/split_4conns_1MiB_chunks,0,35.6127,writer_blocks,12
writer,writer/split_4conns_1MiB_chunks,0,35.6127,writer_bytes,12582912
writer,writer/split_4conns_1MiB_chunks,0,35.6127,writer_seeks,10
writer,writer/split_tiny_budget_1MiB,0,129.1632,avg_block_bytes,246723.76470588235
writer,writer/split_tiny_budget_1MiB,0,129.1632,body_reads,781
writer,writer/split_tiny_budget_1MiB,0,129.1632,body_wait_ms,191.521
writer,writer/split_tiny_budget_1MiB,0,129.1632,cache_copied_bytes,12582912
writer,writer/split_tiny_budget_1MiB,0,129.1632,cache_evicted_bytes,12582912
writer,writer/split_tiny_budget_1MiB,0,129.1632,checksum_ms,0
