group,scenario,round,round_millis,metric,value
writer,writer/split_4conns_16KiB_chunks,0,226.9385,avg_block_bytes,1048576
writer,writer/split_4conns_16KiB_chunks,0,226.9385,body_reads,791
writer,writer/split_4conns_16KiB_chunks,0,226.9385,body_wait_ms,217.959
writer,writer/split_4conns_16KiB_chunks,0,226.9385,cache_copied_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,226.9385,cache_evicted_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,226.9385,checksum_ms,0
writer,writer/split_4conns_16KiB_chunks,0,226.9385,cpu_ms,17.519
writer,writer/split_4conns_16KiB_chunks,0,226.9385,cpu_percent,7.7197140380675355
writer,writer/split_4conns_16KiB_chunks,0,226.9385,distinct_ranges,4
writer,writer/split_4conns_16KiB_chunks,0,226.9385,driver_connections,4
writer,writer/split_4conns_16KiB_chunks,0,226.9385,driver_loops,114
writer,writer/split_4conns_16KiB_chunks,0,226.9385,driver_pauses,9
writer,writer/split_4conns_16KiB_chunks,0,226.9385,duplicate_bytes,0
writer,writer/split_4conns_16KiB_chunks,0,226.9385,failed,0
writer,writer/split_4conns_16KiB_chunks,0,226.9385,file_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,226.9385,finalize,0.003500000000002501
writer,writer/split_4conns_16KiB_chunks,0,226.9385,fsync_calls,1
writer,writer/split_4conns_16KiB_chunks,0,226.9385,fsync_ms,5.402
writer,writer/split_4conns_16KiB_chunks,0,226.9385,prealloc_ms,0.696
writer,writer/split_4conns_16KiB_chunks,0,226.9385,process_peak_rss_bytes,47300608
writer,writer/split_4conns_16KiB_chunks,0,226.9385,report_span,20.04008399999998
writer,writer/split_4conns_16KiB_chunks,0,226.9385,requests,4
writer,writer/split_4conns_16KiB_chunks,0,226.9385,response_head_ms,63.858
writer,writer/split_4conns_16KiB_chunks,0,226.9385,response_heads,4
writer,writer/split_4conns_16KiB_chunks,0,226.9385,running_reports,2
writer,writer/split_4conns_16KiB_chunks,0,226.9385,served_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,226.9385,to_first_report,203.87050000000002
writer,writer/split_4conns_16KiB_chunks,0,226.9385,total,223.914084
writer,writer/split_4conns_16KiB_chunks,0,226.9385,unique_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,226.9385,verified,1
writer,writer/split_4conns_16KiB_chunks,0,226.9385,writer_blocks,12
writer,writer/split_4conns_16KiB_chunks,0,226.9385,writer_bytes,12582912
writer,writer/split_4conns_16KiB_chunks,0,226.9385,writer_seeks,12
writer,writer/split_4conns_1MiB_chunks,0,131.3653,avg_block_bytes,1048576
writer,writer/split_4conns_1MiB_chunks,0,131.3653,body_reads,776
writer,writer/split_4conns_1MiB_chunks,0,131.3653,body_wait_ms,222.754
writer,writer/split_4conns_1MiB_chunks,0,131.3653,cache_copied_bytes,12582912
writer,writer/split_4conns_1MiB_chunks,0,131.3653,cache_evicted_bytes,12582912
writer,writer/split_4conns_1MiB_chunks,0,131.3653,checksum_ms,0
writer,writer/split_4conns_1MiB_chunks,0,131.3653,cpu_ms,14.956000000000005
writer,writer/split_4conns_1MiB_chunks,0,131.3653,cpu_percent,11.385043267084784
writer,writer/split_4conns_1MiB_chunks,0,131.3653,distinct_ranges,4
writer,writer/split_4conns_1MiB_chunks,0,131.3653,driver_connections,4
writer,writer/split_4conns_1MiB_chunks,0,131.3653,driver_loops,54
writer,writer/split_4conns_1MiB_chunks,0,131.3653,driver_pauses,9
writer,writer/split_4conns_1MiB_chunks,0,131.3653,duplicate_bytes,0
writer,writer/split_4conns_1MiB_chunks,0,131.3653,failed,0
