group,scenario,round,round_millis,metric,value
writer,writer/split_prealloc_on,0,19.8716,avg_block_bytes,1048576
writer,writer/split_prealloc_on,0,19.8716,body_reads,780
writer,writer/split_prealloc_on,0,19.8716,body_wait_ms,8.126
writer,writer/split_prealloc_on,0,19.8716,cache_copied_bytes,12582912
writer,writer/split_prealloc_on,0,19.8716,cache_evicted_bytes,12582912
writer,writer/split_prealloc_on,0,19.8716,checksum_ms,0
writer,writer/split_prealloc_on,0,19.8716,cpu_ms,29.438
writer,writer/split_prealloc_on,0,19.8716,cpu_percent,148.1411923750614
writer,writer/split_prealloc_on,0,19.8716,distinct_ranges,5
writer,writer/split_prealloc_on,0,19.8716,driver_connections,4
writer,writer/split_prealloc_on,0,19.8716,driver_loops,97
writer,writer/split_prealloc_on,0,19.8716,driver_pauses,4
writer,writer/split_prealloc_on,0,19.8716,duplicate_bytes,0
writer,writer/split_prealloc_on,0,19.8716,failed,0
writer,writer/split_prealloc_on,0,19.8716,file_bytes,12582912
writer,writer/split_prealloc_on,0,19.8716,finalize,0.001333000000002471
writer,writer/split_prealloc_on,0,19.8716,fsync_calls,1
writer,writer/split_prealloc_on,0,19.8716,fsync_ms,4.387
writer,writer/split_prealloc_on,0,19.8716,prealloc_ms,3.297
writer,writer/split_prealloc_on,0,19.8716,process_peak_rss_bytes,49577984
writer,writer/split_prealloc_on,0,19.8716,report_span,0
writer,writer/split_prealloc_on,0,19.8716,requests,5
writer,writer/split_prealloc_on,0,19.8716,response_head_ms,3.489
writer,writer/split_prealloc_on,0,19.8716,response_heads,5
writer,writer/split_prealloc_on,0,19.8716,running_reports,1
writer,writer/split_prealloc_on,0,19.8716,served_bytes,12582912
writer,writer/split_prealloc_on,0,19.8716,to_first_report,16.109375
writer,writer/split_prealloc_on,0,19.8716,total,16.110708000000002
writer,writer/split_prealloc_on,0,19.8716,unique_bytes,12582912
writer,writer/split_prealloc_on,0,19.8716,verified,1
writer,writer/split_prealloc_on,0,19.8716,writer_blocks,12
writer,writer/split_prealloc_on,0,19.8716,writer_bytes,12582912
writer,writer/split_prealloc_on,0,19.8716,writer_seeks,4
writer,writer/split_prealloc_on,1,19.4325,avg_block_bytes,1048576
writer,writer/split_prealloc_on,1,19.4325,body_reads,778
writer,writer/split_prealloc_on,1,19.4325,body_wait_ms,6.418
writer,writer/split_prealloc_on,1,19.4325,cache_copied_bytes,12582912
writer,writer/split_prealloc_on,1,19.4325,cache_evicted_bytes,12582912
writer,writer/split_prealloc_on,1,19.4325,checksum_ms,0
writer,writer/split_prealloc_on,1,19.4325,cpu_ms,24.716
writer,writer/split_prealloc_on,1,19.4325,cpu_percent,127.18871916956202
writer,writer/split_prealloc_on,1,19.4325,distinct_ranges,4
writer,writer/split_prealloc_on,1,19.4325,driver_connections,4
writer,writer/split_prealloc_on,1,19.4325,driver_loops,56
writer,writer/split_prealloc_on,1,19.4325,driver_pauses,13
writer,writer/split_prealloc_on,1,19.4325,duplicate_bytes,0
writer,writer/split_prealloc_on,1,19.4325,failed,0
writer,writer/split_prealloc_on,1,19.4325,file_bytes,12582912
writer,writer/split_prealloc_on,1,19.4325,fsync_calls,1
writer,writer/split_prealloc_on,1,19.4325,fsync_ms,6.608
