group,scenario,round,round_millis,metric,value
writer,writer/split_prealloc_on,0,24.8991,avg_block_bytes,1048576
writer,writer/split_prealloc_on,0,24.8991,body_reads,777
writer,writer/split_prealloc_on,0,24.8991,body_wait_ms,7.902
writer,writer/split_prealloc_on,0,24.8991,cache_copied_bytes,12582912
writer,writer/split_prealloc_on,0,24.8991,cache_evicted_bytes,12582912
writer,writer/split_prealloc_on,0,24.8991,checksum_ms,0
writer,writer/split_prealloc_on,0,24.8991,cpu_ms,32.99100000000001
writer,writer/split_prealloc_on,0,24.8991,cpu_percent,132.4988554799388
writer,writer/split_prealloc_on,0,24.8991,distinct_ranges,4
writer,writer/split_prealloc_on,0,24.8991,driver_connections,4
writer,writer/split_prealloc_on,0,24.8991,driver_loops,64
writer,writer/split_prealloc_on,0,24.8991,driver_pauses,19
writer,writer/split_prealloc_on,0,24.8991,duplicate_bytes,0
writer,writer/split_prealloc_on,0,24.8991,failed,0
writer,writer/split_prealloc_on,0,24.8991,file_bytes,12582912
writer,writer/split_prealloc_on,0,24.8991,finalize,0.016667000000001764
writer,writer/split_prealloc_on,0,24.8991,fsync_calls,1
writer,writer/split_prealloc_on,0,24.8991,fsync_ms,6.998
writer,writer/split_prealloc_on,0,24.8991,prealloc_ms,3.193
writer,writer/split_prealloc_on,0,24.8991,process_peak_rss_bytes,52150272
writer,writer/split_prealloc_on,0,24.8991,report_span,0
writer,writer/split_prealloc_on,0,24.8991,requests,4
writer,writer/split_prealloc_on,0,24.8991,response_head_ms,3.161
writer,writer/split_prealloc_on,0,24.8991,response_heads,4
writer,writer/split_prealloc_on,0,24.8991,running_reports,1
writer,writer/split_prealloc_on,0,24.8991,served_bytes,12582912
writer,writer/split_prealloc_on,0,24.8991,to_first_report,20.175208
writer,writer/split_prealloc_on,0,24.8991,total,20.191875000000003
writer,writer/split_prealloc_on,0,24.8991,unique_bytes,12582912
writer,writer/split_prealloc_on,0,24.8991,verified,1
writer,writer/split_prealloc_on,0,24.8991,writer_blocks,12
writer,writer/split_prealloc_on,0,24.8991,writer_bytes,12582912
writer,writer/split_prealloc_on,0,24.8991,writer_seeks,12
writer,writer/split_prealloc_on,1,20.2043,avg_block_bytes,1048576
writer,writer/split_prealloc_on,1,20.2043,body_reads,779
writer,writer/split_prealloc_on,1,20.2043,body_wait_ms,6.066
writer,writer/split_prealloc_on,1,20.2043,cache_copied_bytes,12582912
writer,writer/split_prealloc_on,1,20.2043,cache_evicted_bytes,12582912
writer,writer/split_prealloc_on,1,20.2043,checksum_ms,0
writer,writer/split_prealloc_on,1,20.2043,cpu_ms,23.758999999999997
