group,scenario,round,round_millis,metric,value
writer,writer/split_prealloc_on,0,214.0966,avg_block_bytes,1048576
writer,writer/split_prealloc_on,0,214.0966,body_reads,781
writer,writer/split_prealloc_on,0,214.0966,body_wait_ms,198.971
writer,writer/split_prealloc_on,0,214.0966,cache_copied_bytes,12582912
writer,writer/split_prealloc_on,0,214.0966,cache_evicted_bytes,12582912
writer,writer/split_prealloc_on,0,214.0966,checksum_ms,0
writer,writer/split_prealloc_on,0,214.0966,cpu_ms,23.749
writer,writer/split_prealloc_on,0,214.0966,cpu_percent,11.092657134594917
writer,writer/split_prealloc_on,0,214.0966,distinct_ranges,5
writer,writer/split_prealloc_on,0,214.0966,driver_connections,4
writer,writer/split_prealloc_on,0,214.0966,driver_loops,89
writer,writer/split_prealloc_on,0,214.0966,driver_pauses,8
writer,writer/split_prealloc_on,0,214.0966,duplicate_bytes,0
writer,writer/split_prealloc_on,0,214.0966,failed,0
writer,writer/split_prealloc_on,0,214.0966,file_bytes,12582912
writer,writer/split_prealloc_on,0,214.0966,finalize,0.0038749999999936335
writer,writer/split_prealloc_on,0,214.0966,fsync_calls,1
writer,writer/split_prealloc_on,0,214.0966,fsync_ms,5.294
writer,writer/split_prealloc_on,0,214.0966,prealloc_ms,3.57
writer,writer/split_prealloc_on,0,214.0966,process_peak_rss_bytes,49217536
writer,writer/split_prealloc_on,0,214.0966,report_span,0
writer,writer/split_prealloc_on,0,214.0966,requests,5
writer,writer/split_prealloc_on,0,214.0966,response_head_ms,65.443
writer,writer/split_prealloc_on,0,214.0966,response_heads,5
writer,writer/split_prealloc_on,0,214.0966,running_reports,1
writer,writer/split_prealloc_on,0,214.0966,served_bytes,12582912
writer,writer/split_prealloc_on,0,214.0966,to_first_report,207.379167
writer,writer/split_prealloc_on,0,214.0966,total,207.383042
writer,writer/split_prealloc_on,0,214.0966,unique_bytes,12582912
writer,writer/split_prealloc_on,0,214.0966,verified,1
writer,writer/split_prealloc_on,0,214.0966,writer_blocks,12
writer,writer/split_prealloc_on,0,214.0966,writer_bytes,12582912
writer,writer/split_prealloc_on,0,214.0966,writer_seeks,6
writer,writer/split_prealloc_on,1,58.1510,avg_block_bytes,1048576
writer,writer/split_prealloc_on,1,58.1510,body_reads,780
writer,writer/split_prealloc_on,1,58.1510,body_wait_ms,45.749
writer,writer/split_prealloc_on,1,58.1510,cache_copied_bytes,12582912
writer,writer/split_prealloc_on,1,58.1510,cache_evicted_bytes,12582912
writer,writer/split_prealloc_on,1,58.1510,checksum_ms,0
writer,writer/split_prealloc_on,1,58.1510,cpu_ms,13.571
writer,writer/split_prealloc_on,1,58.1510,cpu_percent,23.337517841481656
writer,writer/split_prealloc_on,1,58.1510,distinct_ranges,4
