group,scenario,round,round_millis,metric,value
writer,writer/split_prealloc_on,0,176.7515,avg_block_bytes,1048576
writer,writer/split_prealloc_on,0,176.7515,body_reads,777
writer,writer/split_prealloc_on,0,176.7515,body_wait_ms,164.832
writer,writer/split_prealloc_on,0,176.7515,cache_copied_bytes,12582912
writer,writer/split_prealloc_on,0,176.7515,cache_evicted_bytes,12582912
writer,writer/split_prealloc_on,0,176.7515,checksum_ms,0
writer,writer/split_prealloc_on,0,176.7515,cpu_ms,13.613999999999997
writer,writer/split_prealloc_on,0,176.7515,cpu_percent,7.702337373115178
writer,writer/split_prealloc_on,0,176.7515,distinct_ranges,4
writer,writer/split_prealloc_on,0,176.7515,driver_connections,4
writer,writer/split_prealloc_on,0,176.7515,driver_loops,87
writer,writer/split_prealloc_on,0,176.7515,driver_pauses,7
writer,writer/split_prealloc_on,0,176.7515,duplicate_bytes,0
writer,writer/split_prealloc_on,0,176.7515,failed,0
writer,writer/split_prealloc_on,0,176.7515,file_bytes,12582912
writer,writer/split_prealloc_on,0,176.7515,finalize,0.008874999999989086
writer,writer/split_prealloc_on,0,176.7515,fsync_calls,1
writer,writer/split_prealloc_on,0,176.7515,fsync_ms,5.056
writer,writer/split_prealloc_on,0,176.7515,prealloc_ms,3.896
writer,writer/split_prealloc_on,0,176.7515,process_peak_rss_bytes,50413568
writer,writer/split_prealloc_on,0,176.7515,report_span,0
writer,writer/split_prealloc_on,0,176.7515,requests,4
writer,writer/split_prealloc_on,0,176.7515,response_head_ms,51.105
writer,writer/split_prealloc_on,0,176.7515,response_heads,4
writer,writer/split_prealloc_on,0,176.7515,running_reports,1
writer,writer/split_prealloc_on,0,176.7515,served_bytes,12582912
writer,writer/split_prealloc_on,0,176.7515,to_first_report,174.318417
writer,writer/split_prealloc_on,0,176.7515,total,174.327292
writer,writer/split_prealloc_on,0,176.7515,unique_bytes,12582912
writer,writer/split_prealloc_on,0,176.7515,verified,1
writer,writer/split_prealloc_on,0,176.7515,writer_blocks,12
writer,writer/split_prealloc_on,0,176.7515,writer_bytes,12582912
writer,writer/split_prealloc_on,0,176.7515,writer_seeks,12
writer,writer/split_prealloc_on,1,78.2997,avg_block_bytes,1048576
writer,writer/split_prealloc_on,1,78.2997,body_reads,779
writer,writer/split_prealloc_on,1,78.2997,body_wait_ms,90.881
writer,writer/split_prealloc_on,1,78.2997,cache_copied_bytes,12582912
writer,writer/split_prealloc_on,1,78.2997,cache_evicted_bytes,12582912
writer,writer/split_prealloc_on,1,78.2997,checksum_ms,0
writer,writer/split_prealloc_on,1,78.2997,cpu_ms,14.880999999999998
writer,writer/split_prealloc_on,1,78.2997,cpu_percent,19.005189383500188
writer,writer/split_prealloc_on,1,78.2997,distinct_ranges,5
writer,writer/split_prealloc_on,1,78.2997,driver_connections,4
writer,writer/split_prealloc_on,1,78.2997,driver_loops,63
writer,writer/split_prealloc_on,1,78.2997,driver_pauses,8
writer,writer/split_prealloc_on,1,78.2997,duplicate_bytes,0
writer,writer/split_prealloc_on,1,78.2997,failed,0
writer,writer/split_prealloc_on,1,78.2997,file_bytes,12582912
writer,writer/split_prealloc_on,1,78.2997,fsync_calls,1
writer,writer/split_prealloc_on,1,78.2997,fsync_ms,6.383
writer,writer/split_prealloc_on,1,78.2997,prealloc_ms,3.175
writer,writer/split_prealloc_on,1,78.2997,process_peak_rss_bytes,52051968
writer,writer/split_prealloc_on,1,78.2997,requests,5
writer,writer/split_prealloc_on,1,78.2997,response_head_ms,53.589
writer,writer/split_prealloc_on,1,78.2997,response_heads,5
writer,writer/split_prealloc_on,1,78.2997,running_reports,0
