group,scenario,round,round_millis,metric,value
driver,driver/single_origin_split_download,0,14.9820,active,0
driver,driver/single_origin_split_download,0,14.9820,avg_block_bytes,1048576
driver,driver/single_origin_split_download,0,14.9820,body_reads,776
driver,driver/single_origin_split_download,0,14.9820,body_wait_ms,6.119
driver,driver/single_origin_split_download,0,14.9820,cache_copied_bytes,12582912
driver,driver/single_origin_split_download,0,14.9820,cache_evicted_bytes,12582912
driver,driver/single_origin_split_download,0,14.9820,cancelled,0
driver,driver/single_origin_split_download,0,14.9820,checksum_ms,0
driver,driver/single_origin_split_download,0,14.9820,commands,10
driver,driver/single_origin_split_download,0,14.9820,completed,4
driver,driver/single_origin_split_download,0,14.9820,connections,4
driver,driver/single_origin_split_download,0,14.9820,cpu_ms,16.661999999999995
driver,driver/single_origin_split_download,0,14.9820,cpu_percent,111.21376792005421
driver,driver/single_origin_split_download,0,14.9820,distinct_ranges,4
driver,driver/single_origin_split_download,0,14.9820,duplicate_bytes,0
driver,driver/single_origin_split_download,0,14.9820,failed,0
driver,driver/single_origin_split_download,0,14.9820,file_bytes,12582912
driver,driver/single_origin_split_download,0,14.9820,fsync_calls,1
driver,driver/single_origin_split_download,0,14.9820,fsync_ms,5.379
driver,driver/single_origin_split_download,0,14.9820,loops,53
driver,driver/single_origin_split_download,0,14.9820,max_command_latency_ms,0.113
driver,driver/single_origin_split_download,0,14.9820,pauses,6
driver,driver/single_origin_split_download,0,14.9820,pools,1
driver,driver/single_origin_split_download,0,14.9820,prealloc_ms,3.514
driver,driver/single_origin_split_download,0,14.9820,process_peak_rss_bytes,59899904
driver,driver/single_origin_split_download,0,14.9820,requests,4
driver,driver/single_origin_split_download,0,14.9820,response_head_ms,1.929
driver,driver/single_origin_split_download,0,14.9820,response_heads,4
driver,driver/single_origin_split_download,0,14.9820,resumes,6
driver,driver/single_origin_split_download,0,14.9820,running_reports,0
driver,driver/single_origin_split_download,0,14.9820,served_bytes,12582912
driver,driver/single_origin_split_download,0,14.9820,submitted,4
driver,driver/single_origin_split_download,0,14.9820,total,13.174333
driver,driver/single_origin_split_download,0,14.9820,unique_bytes,12582912
driver,driver/single_origin_split_download,0,14.9820,verified,1
driver,driver/single_origin_split_download,0,14.9820,writer_blocks,12
driver,driver/single_origin_split_download,0,14.9820,writer_bytes,12582912
driver,driver/single_origin_split_download,0,14.9820,writer_seeks,12
driver,driver/single_origin_split_download,1,15.7431,active,0
driver,driver/single_origin_split_download,1,15.7431,avg_block_bytes,1048576
driver,driver/single_origin_split_download,1,15.7431,body_reads,781
driver,driver/single_origin_split_download,1,15.7431,body_wait_ms,7.157
driver,driver/single_origin_split_download,1,15.7431,cache_copied_bytes,12582912
driver,driver/single_origin_split_download,1,15.7431,cache_evicted_bytes,12582912
driver,driver/single_origin_split_download,1,15.7431,cancelled,0
driver,driver/single_origin_split_download,1,15.7431,checksum_ms,0
driver,driver/single_origin_split_download,1,15.7431,commands,8
driver,driver/single_origin_split_download,1,15.7431,completed,4
driver,driver/single_origin_split_download,1,15.7431,connections,4
driver,driver/single_origin_split_download,1,15.7431,cpu_ms,14.169999999999995
driver,driver/single_origin_split_download,1,15.7431,cpu_percent,90.00754297510815
driver,driver/single_origin_split_download,1,15.7431,distinct_ranges,4
driver,driver/single_origin_split_download,1,15.7431,duplicate_bytes,0
driver,driver/single_origin_split_download,1,15.7431,failed,0
driver,driver/single_origin_split_download,1,15.7431,file_bytes,12582912
driver,driver/single_origin_split_download,1,15.7431,finalize,0.004374999999997797
driver,driver/single_origin_split_download,1,15.7431,fsync_calls,1
driver,driver/single_origin_split_download,1,15.7431,fsync_ms,6.98
driver,driver/single_origin_split_download,1,15.7431,loops,79
driver,driver/single_origin_split_download,1,15.7431,max_command_latency_ms,0.045
driver,driver/single_origin_split_download,1,15.7431,pauses,4
driver,driver/single_origin_split_download,1,15.7431,pools,1
driver,driver/single_origin_split_download,1,15.7431,prealloc_ms,2.652
driver,driver/single_origin_split_download,1,15.7431,process_peak_rss_bytes,61292544
driver,driver/single_origin_split_download,1,15.7431,report_span,0
driver,driver/single_origin_split_download,1,15.7431,requests,4
driver,driver/single_origin_split_download,1,15.7431,response_head_ms,1.36
driver,driver/single_origin_split_download,1,15.7431,response_heads,4
driver,driver/single_origin_split_download,1,15.7431,resumes,4
driver,driver/single_origin_split_download,1,15.7431,running_reports,1
driver,driver/single_origin_split_download,1,15.7431,served_bytes,12582912
driver,driver/single_origin_split_download,1,15.7431,submitted,4
driver,driver/single_origin_split_download,1,15.7431,to_first_report,14.138958
driver,driver/single_origin_split_download,1,15.7431,total,14.143332999999998
driver,driver/single_origin_split_download,1,15.7431,unique_bytes,12582912
driver,driver/single_origin_split_download,1,15.7431,verified,1
driver,driver/single_origin_split_download,1,15.7431,writer_blocks,12
driver,driver/single_origin_split_download,1,15.7431,writer_bytes,12582912
driver,driver/single_origin_split_download,1,15.7431,writer_seeks,12
driver,driver/single_origin_split_download,2,15.1040,active,0
driver,driver/single_origin_split_download,2,15.1040,avg_block_bytes,1048576
driver,driver/single_origin_split_download,2,15.1040,body_reads,783
driver,driver/single_origin_split_download,2,15.1040,body_wait_ms,6.581
driver,driver/single_origin_split_download,2,15.1040,cache_copied_bytes,12582912
driver,driver/single_origin_split_download,2,15.1040,cache_evicted_bytes,12582912
driver,driver/single_origin_split_download,2,15.1040,cancelled,0
driver,driver/single_origin_split_download,2,15.1040,checksum_ms,0
driver,driver/single_origin_split_download,2,15.1040,commands,13
driver,driver/single_origin_split_download,2,15.1040,completed,5
driver,driver/single_origin_split_download,2,15.1040,connections,4
driver,driver/single_origin_split_download,2,15.1040,cpu_ms,14.32
driver,driver/single_origin_split_download,2,15.1040,cpu_percent,94.80906467348704
driver,driver/single_origin_split_download,2,15.1040,distinct_ranges,5
driver,driver/single_origin_split_download,2,15.1040,duplicate_bytes,0
driver,driver/single_origin_split_download,2,15.1040,failed,0
driver,driver/single_origin_split_download,2,15.1040,file_bytes,12582912
driver,driver/single_origin_split_download,2,15.1040,finalize,0.01287500000000108
driver,driver/single_origin_split_download,2,15.1040,fsync_calls,1
driver,driver/single_origin_split_download,2,15.1040,fsync_ms,6.34
driver,driver/single_origin_split_download,2,15.1040,loops,72
driver,driver/single_origin_split_download,2,15.1040,max_command_latency_ms,0.036
driver,driver/single_origin_split_download,2,15.1040,pauses,8
driver,driver/single_origin_split_download,2,15.1040,pools,1
driver,driver/single_origin_split_download,2,15.1040,prealloc_ms,3.052
driver,driver/single_origin_split_download,2,15.1040,process_peak_rss_bytes,66027520
driver,driver/single_origin_split_download,2,15.1040,report_span,0
driver,driver/single_origin_split_download,2,15.1040,requests,5
driver,driver/single_origin_split_download,2,15.1040,response_head_ms,1.479
driver,driver/single_origin_split_download,2,15.1040,response_heads,5
driver,driver/single_origin_split_download,2,15.1040,resumes,8
driver,driver/single_origin_split_download,2,15.1040,running_reports,1
driver,driver/single_origin_split_download,2,15.1040,served_bytes,12582912
driver,driver/single_origin_split_download,2,15.1040,submitted,5
driver,driver/single_origin_split_download,2,15.1040,to_first_report,13.479709
driver,driver/single_origin_split_download,2,15.1040,total,13.492584
driver,driver/single_origin_split_download,2,15.1040,unique_bytes,12582912
driver,driver/single_origin_split_download,2,15.1040,verified,1
driver,driver/single_origin_split_download,2,15.1040,writer_blocks,12
driver,driver/single_origin_split_download,2,15.1040,writer_bytes,12582912
driver,driver/single_origin_split_download,2,15.1040,writer_seeks,12
driver,driver/single_origin_split_download,3,13.9357,active,0
driver,driver/single_origin_split_download,3,13.9357,avg_block_bytes,1048576
driver,driver/single_origin_split_download,3,13.9357,body_reads,782
driver,driver/single_origin_split_download,3,13.9357,body_wait_ms,5.083
driver,driver/single_origin_split_download,3,13.9357,cache_copied_bytes,12582912
driver,driver/single_origin_split_download,3,13.9357,cache_evicted_bytes,12582912
driver,driver/single_origin_split_download,3,13.9357,cancelled,0
driver,driver/single_origin_split_download,3,13.9357,checksum_ms,0
driver,driver/single_origin_split_download,3,13.9357,commands,6
driver,driver/single_origin_split_download,3,13.9357,completed,4
driver,driver/single_origin_split_download,3,13.9357,connections,4
driver,driver/single_origin_split_download,3,13.9357,cpu_ms,12.884999999999994
driver,driver/single_origin_split_download,3,13.9357,cpu_percent,92.46031185065644
driver,driver/single_origin_split_download,3,13.9357,distinct_ranges,4
driver,driver/single_origin_split_download,3,13.9357,duplicate_bytes,0
driver,driver/single_origin_split_download,3,13.9357,failed,0
driver,driver/single_origin_split_download,3,13.9357,file_bytes,12582912
driver,driver/single_origin_split_download,3,13.9357,finalize,0.0057910000000021
driver,driver/single_origin_split_download,3,13.9357,fsync_calls,1
driver,driver/single_origin_split_download,3,13.9357,fsync_ms,6.069
driver,driver/single_origin_split_download,3,13.9357,loops,72
driver,driver/single_origin_split_download,3,13.9357,max_command_latency_ms,0.03
driver,driver/single_origin_split_download,3,13.9357,pauses,2
driver,driver/single_origin_split_download,3,13.9357,pools,1
driver,driver/single_origin_split_download,3,13.9357,prealloc_ms,2.711
driver,driver/single_origin_split_download,3,13.9357,process_peak_rss_bytes,66174976
driver,driver/single_origin_split_download,3,13.9357,report_span,0
driver,driver/single_origin_split_download,3,13.9357,requests,4
driver,driver/single_origin_split_download,3,13.9357,response_head_ms,1.252
