group,scenario,round,round_millis,metric,value
driver,driver/single_origin_split_download,0,162.6868,active,0
driver,driver/single_origin_split_download,0,162.6868,avg_block_bytes,1048576
driver,driver/single_origin_split_download,0,162.6868,body_reads,787
driver,driver/single_origin_split_download,0,162.6868,body_wait_ms,151.403
driver,driver/single_origin_split_download,0,162.6868,cache_copied_bytes,12582912
driver,driver/single_origin_split_download,0,162.6868,cache_evicted_bytes,12582912
driver,driver/single_origin_split_download,0,162.6868,cancelled,0
driver,driver/single_origin_split_download,0,162.6868,checksum_ms,0
driver,driver/single_origin_split_download,0,162.6868,commands,13
driver,driver/single_origin_split_download,0,162.6868,completed,5
driver,driver/single_origin_split_download,0,162.6868,connections,4
driver,driver/single_origin_split_download,0,162.6868,cpu_ms,16.299999999999997
driver,driver/single_origin_split_download,0,162.6868,cpu_percent,10.019249621638096
driver,driver/single_origin_split_download,0,162.6868,distinct_ranges,5
driver,driver/single_origin_split_download,0,162.6868,duplicate_bytes,0
driver,driver/single_origin_split_download,0,162.6868,failed,0
driver,driver/single_origin_split_download,0,162.6868,file_bytes,12582912
driver,driver/single_origin_split_download,0,162.6868,finalize,0.0019580000000019027
driver,driver/single_origin_split_download,0,162.6868,fsync_calls,1
driver,driver/single_origin_split_download,0,162.6868,fsync_ms,4.061
driver,driver/single_origin_split_download,0,162.6868,loops,83
driver,driver/single_origin_split_download,0,162.6868,max_command_latency_ms,27.913
driver,driver/single_origin_split_download,0,162.6868,pauses,8
driver,driver/single_origin_split_download,0,162.6868,pools,1
driver,driver/single_origin_split_download,0,162.6868,prealloc_ms,3.799
driver,driver/single_origin_split_download,0,162.6868,process_peak_rss_bytes,56049664
driver,driver/single_origin_split_download,0,162.6868,report_span,0
driver,driver/single_origin_split_download,0,162.6868,requests,5
driver,driver/single_origin_split_download,0,162.6868,response_head_ms,55.292
driver,driver/single_origin_split_download,0,162.6868,response_heads,5
driver,driver/single_origin_split_download,0,162.6868,resumes,8
driver,driver/single_origin_split_download,0,162.6868,running_reports,1
driver,driver/single_origin_split_download,0,162.6868,served_bytes,12582912
driver,driver/single_origin_split_download,0,162.6868,submitted,5
driver,driver/single_origin_split_download,0,162.6868,to_first_report,159.645375
driver,driver/single_origin_split_download,0,162.6868,total,159.647333
driver,driver/single_origin_split_download,0,162.6868,unique_bytes,12582912
driver,driver/single_origin_split_download,0,162.6868,verified,1
driver,driver/single_origin_split_download,0,162.6868,writer_blocks,12
driver,driver/single_origin_split_download,0,162.6868,writer_bytes,12582912
driver,driver/single_origin_split_download,0,162.6868,writer_seeks,1
driver,driver/single_origin_split_download,1,82.7587,active,0
driver,driver/single_origin_split_download,1,82.7587,avg_block_bytes,1048576
driver,driver/single_origin_split_download,1,82.7587,body_reads,779
driver,driver/single_origin_split_download,1,82.7587,body_wait_ms,94.372
driver,driver/single_origin_split_download,1,82.7587,cache_copied_bytes,12582912
driver,driver/single_origin_split_download,1,82.7587,cache_evicted_bytes,12582912
driver,driver/single_origin_split_download,1,82.7587,cancelled,0
driver,driver/single_origin_split_download,1,82.7587,checksum_ms,0
driver,driver/single_origin_split_download,1,82.7587,commands,12
driver,driver/single_origin_split_download,1,82.7587,completed,4
driver,driver/single_origin_split_download,1,82.7587,connections,4
driver,driver/single_origin_split_download,1,82.7587,cpu_ms,21.335
driver,driver/single_origin_split_download,1,82.7587,cpu_percent,25.77977755223846
driver,driver/single_origin_split_download,1,82.7587,distinct_ranges,4
driver,driver/single_origin_split_download,1,82.7587,duplicate_bytes,0
driver,driver/single_origin_split_download,1,82.7587,failed,0
driver,driver/single_origin_split_download,1,82.7587,file_bytes,12582912
driver,driver/single_origin_split_download,1,82.7587,fsync_calls,1
driver,driver/single_origin_split_download,1,82.7587,fsync_ms,6.318
driver,driver/single_origin_split_download,1,82.7587,loops,60
driver,driver/single_origin_split_download,1,82.7587,max_command_latency_ms,24.805
driver,driver/single_origin_split_download,1,82.7587,pauses,8
driver,driver/single_origin_split_download,1,82.7587,pools,1
driver,driver/single_origin_split_download,1,82.7587,prealloc_ms,4.145
driver,driver/single_origin_split_download,1,82.7587,process_peak_rss_bytes,59424768
driver,driver/single_origin_split_download,1,82.7587,requests,4
driver,driver/single_origin_split_download,1,82.7587,response_head_ms,50.7
driver,driver/single_origin_split_download,1,82.7587,response_heads,4
driver,driver/single_origin_split_download,1,82.7587,resumes,8
driver,driver/single_origin_split_download,1,82.7587,running_reports,0
driver,driver/single_origin_split_download,1,82.7587,served_bytes,12582912
driver,driver/single_origin_split_download,1,82.7587,submitted,4
driver,driver/single_origin_split_download,1,82.7587,total,79.81112499999999
