group,scenario,round,round_millis,metric,value
scheduler,scheduler/dynamic/fresh/64,0,0.0469,boundary_scans,4
scheduler,scheduler/dynamic/fresh/64,0,0.0469,candidate_slots,10
scheduler,scheduler/dynamic/fresh/64,0,0.0469,cpu_ms,0.0910000000000008
scheduler,scheduler/dynamic/fresh/64,0,0.0469,cpu_percent,194.13333333333503
scheduler,scheduler/dynamic/fresh/64,0,0.0469,leases,64
scheduler,scheduler/dynamic/fresh/64,0,0.0469,max_leases_per_request,16
scheduler,scheduler/dynamic/fresh/64,0,0.0469,max_request_bytes,16777216
scheduler,scheduler/dynamic/fresh/64,0,0.0469,micros_per_request,8.21875
scheduler,scheduler/dynamic/fresh/64,0,0.0469,multi_lease_requests,4
scheduler,scheduler/dynamic/fresh/64,0,0.0469,planned_bytes,67108864
scheduler,scheduler/dynamic/fresh/64,0,0.0469,planned_ranges,10
scheduler,scheduler/dynamic/fresh/64,0,0.0469,process_peak_rss_bytes,16138240
scheduler,scheduler/dynamic/fresh/64,0,0.0469,requests,4
scheduler,scheduler/dynamic/fresh/64,0,0.0469,single_lease_requests,0
scheduler,scheduler/dynamic/fresh/64,0,0.0469,total,0.032875
scheduler,scheduler/dynamic/fresh/64,0,0.0469,truncated_requests,0
scheduler,scheduler/dynamic/fresh/64,1,0.0143,boundary_scans,4
scheduler,scheduler/dynamic/fresh/64,1,0.0143,candidate_slots,10
scheduler,scheduler/dynamic/fresh/64,1,0.0143,cpu_ms,0.015000000000001124
scheduler,scheduler/dynamic/fresh/64,1,0.0143,cpu_percent,105.26315789474472
scheduler,scheduler/dynamic/fresh/64,1,0.0143,leases,64
scheduler,scheduler/dynamic/fresh/64,1,0.0143,max_leases_per_request,16
scheduler,scheduler/dynamic/fresh/64,1,0.0143,max_request_bytes,16777216
scheduler,scheduler/dynamic/fresh/64,1,0.0143,micros_per_request,3.3125
scheduler,scheduler/dynamic/fresh/64,1,0.0143,multi_lease_requests,4
scheduler,scheduler/dynamic/fresh/64,1,0.0143,planned_bytes,67108864
scheduler,scheduler/dynamic/fresh/64,1,0.0143,planned_ranges,10
scheduler,scheduler/dynamic/fresh/64,1,0.0143,process_peak_rss_bytes,16171008
scheduler,scheduler/dynamic/fresh/64,1,0.0143,requests,4
scheduler,scheduler/dynamic/fresh/64,1,0.0143,single_lease_requests,0
scheduler,scheduler/dynamic/fresh/64,1,0.0143,total,0.01325
scheduler,scheduler/dynamic/fresh/64,1,0.0143,truncated_requests,0
scheduler,scheduler/dynamic/fresh/64,2,0.0090,boundary_scans,4
scheduler,scheduler/dynamic/fresh/64,2,0.0090,candidate_slots,10
scheduler,scheduler/dynamic/fresh/64,2,0.0090,cpu_ms,0.008999999999998592
scheduler,scheduler/dynamic/fresh/64,2,0.0090,cpu_percent,100.46885465504123
scheduler,scheduler/dynamic/fresh/64,2,0.0090,leases,64
scheduler,scheduler/dynamic/fresh/64,2,0.0090,max_leases_per_request,16
scheduler,scheduler/dynamic/fresh/64,2,0.0090,max_request_bytes,16777216
scheduler,scheduler/dynamic/fresh/64,2,0.0090,micros_per_request,2.09375
scheduler,scheduler/dynamic/fresh/64,2,0.0090,multi_lease_requests,4
scheduler,scheduler/dynamic/fresh/64,2,0.0090,planned_bytes,67108864
scheduler,scheduler/dynamic/fresh/64,2,0.0090,planned_ranges,10
scheduler,scheduler/dynamic/fresh/64,2,0.0090,process_peak_rss_bytes,16171008
scheduler,scheduler/dynamic/fresh/64,2,0.0090,requests,4
scheduler,scheduler/dynamic/fresh/64,2,0.0090,single_lease_requests,0
scheduler,scheduler/dynamic/fresh/64,2,0.0090,total,0.008375
scheduler,scheduler/dynamic/fresh/64,2,0.0090,truncated_requests,0
scheduler,scheduler/dynamic/fresh/64,3,0.0078,boundary_scans,4
scheduler,scheduler/dynamic/fresh/64,3,0.0078,candidate_slots,10
scheduler,scheduler/dynamic/fresh/64,3,0.0078,cpu_ms,0.007000000000000062
scheduler,scheduler/dynamic/fresh/64,3,0.0078,cpu_percent,89.83572895277287
scheduler,scheduler/dynamic/fresh/64,3,0.0078,leases,64
scheduler,scheduler/dynamic/fresh/64,3,0.0078,max_leases_per_request,16
scheduler,scheduler/dynamic/fresh/64,3,0.0078,max_request_bytes,16777216
scheduler,scheduler/dynamic/fresh/64,3,0.0078,micros_per_request,1.802
