group,scenario,round,round_millis,metric,value
scheduler,scheduler/dynamic/fresh/64,0,0.0464,boundary_scans,4
scheduler,scheduler/dynamic/fresh/64,0,0.0464,candidate_slots,10
scheduler,scheduler/dynamic/fresh/64,0,0.0464,cpu_ms,0.08500000000000174
scheduler,scheduler/dynamic/fresh/64,0,0.0464,cpu_percent,183.1265081006587
scheduler,scheduler/dynamic/fresh/64,0,0.0464,leases,64
scheduler,scheduler/dynamic/fresh/64,0,0.0464,max_leases_per_request,16
scheduler,scheduler/dynamic/fresh/64,0,0.0464,max_request_bytes,16777216
scheduler,scheduler/dynamic/fresh/64,0,0.0464,micros_per_request,8.447999999999999
scheduler,scheduler/dynamic/fresh/64,0,0.0464,multi_lease_requests,4
scheduler,scheduler/dynamic/fresh/64,0,0.0464,planned_bytes,67108864
scheduler,scheduler/dynamic/fresh/64,0,0.0464,planned_ranges,10
scheduler,scheduler/dynamic/fresh/64,0,0.0464,process_peak_rss_bytes,16007168
scheduler,scheduler/dynamic/fresh/64,0,0.0464,requests,4
scheduler,scheduler/dynamic/fresh/64,0,0.0464,single_lease_requests,0
scheduler,scheduler/dynamic/fresh/64,0,0.0464,total,0.033791999999999996
scheduler,scheduler/dynamic/fresh/64,0,0.0464,truncated_requests,0
scheduler,scheduler/dynamic/fresh/64,1,0.0150,boundary_scans,4
scheduler,scheduler/dynamic/fresh/64,1,0.0150,candidate_slots,10
scheduler,scheduler/dynamic/fresh/64,1,0.0150,cpu_ms,0.015000000000001124
scheduler,scheduler/dynamic/fresh/64,1,0.0150,cpu_percent,100.00000000000749
scheduler,scheduler/dynamic/fresh/64,1,0.0150,leases,64
scheduler,scheduler/dynamic/fresh/64,1,0.0150,max_leases_per_request,16
scheduler,scheduler/dynamic/fresh/64,1,0.0150,max_request_bytes,16777216
scheduler,scheduler/dynamic/fresh/64,1,0.0150,micros_per_request,3.5522500000000004
scheduler,scheduler/dynamic/fresh/64,1,0.0150,multi_lease_requests,4
scheduler,scheduler/dynamic/fresh/64,1,0.0150,planned_bytes,67108864
scheduler,scheduler/dynamic/fresh/64,1,0.0150,planned_ranges,10
scheduler,scheduler/dynamic/fresh/64,1,0.0150,process_peak_rss_bytes,16072704
scheduler,scheduler/dynamic/fresh/64,1,0.0150,requests,4
scheduler,scheduler/dynamic/fresh/64,1,0.0150,single_lease_requests,0
scheduler,scheduler/dynamic/fresh/64,1,0.0150,total,0.014209000000000001
scheduler,scheduler/dynamic/fresh/64,1,0.0150,truncated_requests,0
scheduler,scheduler/dynamic/fresh/64,2,0.0086,boundary_scans,4
scheduler,scheduler/dynamic/fresh/64,2,0.0086,candidate_slots,10
scheduler,scheduler/dynamic/fresh/64,2,0.0086,cpu_ms,0.008999999999998592
scheduler,scheduler/dynamic/fresh/64,2,0.0086,cpu_percent,104.85844110449251
scheduler,scheduler/dynamic/fresh/64,2,0.0086,leases,64
scheduler,scheduler/dynamic/fresh/64,2,0.0086,max_leases_per_request,16
scheduler,scheduler/dynamic/fresh/64,2,0.0086,max_request_bytes,16777216
