group,scenario,round,round_millis,metric,value
scheduler,scheduler/dynamic/fresh/64,0,0.1061,boundary_scans,4
scheduler,scheduler/dynamic/fresh/64,0,0.1061,candidate_slots,10
scheduler,scheduler/dynamic/fresh/64,0,0.1061,cpu_ms,0
scheduler,scheduler/dynamic/fresh/64,0,0.1061,cpu_percent,0
scheduler,scheduler/dynamic/fresh/64,0,0.1061,leases,64
scheduler,scheduler/dynamic/fresh/64,0,0.1061,max_leases_per_request,16
scheduler,scheduler/dynamic/fresh/64,0,0.1061,max_request_bytes,16777216
scheduler,scheduler/dynamic/fresh/64,0,0.1061,micros_per_request,23.975
scheduler,scheduler/dynamic/fresh/64,0,0.1061,multi_lease_requests,4
scheduler,scheduler/dynamic/fresh/64,0,0.1061,planned_bytes,67108864
scheduler,scheduler/dynamic/fresh/64,0,0.1061,planned_ranges,10
scheduler,scheduler/dynamic/fresh/64,0,0.1061,requests,4
scheduler,scheduler/dynamic/fresh/64,0,0.1061,single_lease_requests,0
scheduler,scheduler/dynamic/fresh/64,0,0.1061,total,0.0959
scheduler,scheduler/dynamic/fresh/64,0,0.1061,truncated_requests,0
scheduler,scheduler/dynamic/fresh/64,1,0.0186,boundary_scans,4
scheduler,scheduler/dynamic/fresh/64,1,0.0186,candidate_slots,10
scheduler,scheduler/dynamic/fresh/64,1,0.0186,cpu_ms,0
scheduler,scheduler/dynamic/fresh/64,1,0.0186,cpu_percent,0
scheduler,scheduler/dynamic/fresh/64,1,0.0186,leases,64
scheduler,scheduler/dynamic/fresh/64,1,0.0186,max_leases_per_request,16
scheduler,scheduler/dynamic/fresh/64,1,0.0186,max_request_bytes,16777216
scheduler,scheduler/dynamic/fresh/64,1,0.0186,micros_per_request,4.35
scheduler,scheduler/dynamic/fresh/64,1,0.0186,multi_lease_requests,4
scheduler,scheduler/dynamic/fresh/64,1,0.0186,planned_bytes,67108864
scheduler,scheduler/dynamic/fresh/64,1,0.0186,planned_ranges,10
scheduler,scheduler/dynamic/fresh/64,1,0.0186,requests,4
scheduler,scheduler/dynamic/fresh/64,1,0.0186,single_lease_requests,0
scheduler,scheduler/dynamic/fresh/64,1,0.0186,total,0.0174
scheduler,scheduler/dynamic/fresh/64,1,0.0186,truncated_requests,0
scheduler,scheduler/dynamic/fresh/64,2,0.0119,boundary_scans,4
scheduler,scheduler/dynamic/fresh/64,2,0.0119,candidate_slots,10
scheduler,scheduler/dynamic/fresh/64,2,0.0119,cpu_ms,0
scheduler,scheduler/dynamic/fresh/64,2,0.0119,cpu_percent,0
scheduler,scheduler/dynamic/fresh/64,2,0.0119,leases,64
scheduler,scheduler/dynamic/fresh/64,2,0.0119,max_leases_per_request,16
scheduler,scheduler/dynamic/fresh/64,2,0.0119,max_request_bytes,16777216
scheduler,scheduler/dynamic/fresh/64,2,0.0119,micros_per_request,2.775
scheduler,scheduler/dynamic/fresh/64,2,0.0119,multi_lease_requests,4
scheduler,scheduler/dynamic/fresh/64,2,0.0119,planned_bytes,67108864
scheduler,scheduler/dynamic/fresh/64,2,0.0119,planned_ranges,10
scheduler,scheduler/dynamic/fresh/64,2,0.0119,requests,4
scheduler,scheduler/dynamic/fresh/64,2,0.0119,single_lease_requests,0
scheduler,scheduler/dynamic/fresh/64,2,0.0119,total,0.0111
scheduler,scheduler/dynamic/fresh/64,2,0.0119,truncated_requests,0
scheduler,scheduler/dynamic/fresh/64,3,0.0120,boundary_scans,4
scheduler,scheduler/dynamic/fresh/64,3,0.0120,candidate_slots,10
scheduler,scheduler/dynamic/fresh/64,3,0.0120,cpu_ms,0
scheduler,scheduler/dynamic/fresh/64,3,0.0120,cpu_percent,0
scheduler,scheduler/dynamic/fresh/64,3,0.0120,leases,64
scheduler,scheduler/dynamic/fresh/64,3,0.0120,max_leases_per_request,16
scheduler,scheduler/dynamic/fresh/64,3,0.0120,max_request_bytes,16777216
scheduler,scheduler/dynamic/fresh/64,3,0.0120,micros_per_request,2.8
scheduler,scheduler/dynamic/fresh/64,3,0.0120,multi_lease_requests,4
scheduler,scheduler/dynamic/fresh/64,3,0.0120,planned_bytes,67108864
scheduler,scheduler/dynamic/fresh/64,3,0.0120,planned_ranges,10
scheduler,scheduler/dynamic/fresh/64,3,0.0120,requests,4
scheduler,scheduler/dynamic/fresh/64,3,0.0120,single_lease_requests,0
