scenario,round,policy,seconds,connections,requests,unaligned_range_requests,server_body_bytes,validated_bytes
local,1,unpooled,0.028,16,16,0,16777216,16777216
local,1,pooled,0.021,4,16,0,16777216,16777216
local,1,batched,0.019,7,7,0,16777216,16777216
local,1,pooled_batched,0.019,4,7,0,16777216,16777216
local,1,pooled_batch8,0.017,4,6,0,16777216,16777216
local,1,pooled_batch16,0.017,5,5,0,16777216,16777216
local,2,pooled,0.020,4,16,0,16777216,16777216
local,2,batched,0.019,7,7,0,16777216,16777216
local,2,pooled_batched,0.017,4,7,0,16777216,16777216
local,2,pooled_batch8,0.015,4,6,0,16777216,16777216
local,2,pooled_batch16,0.016,5,6,0,16777216,16777216
local,2,unpooled,0.026,16,16,0,16777216,16777216
local,3,batched,0.020,7,7,0,16777216,16777216
local,3,pooled_batched,0.018,5,7,0,16777216,16777216
local,3,pooled_batch8,0.017,4,6,0,16777216,16777216
local,3,pooled_batch16,0.017,4,5,0,16777216,16777216
local,3,unpooled,0.026,16,16,0,16777216,16777216
local,3,pooled,0.020,4,16,0,16777216,16777216
local,4,pooled_batched,0.020,4,8,0,16777216,16777216
local,4,pooled_batch8,0.015,4,6,0,16777216,16777216
local,4,pooled_batch16,0.015,4,5,0,16777216,16777216
local,4,unpooled,0.029,16,16,0,16777216,16777216
local,4,pooled,0.019,4,16,0,16777216,16777216
local,4,batched,0.019,7,7,0,16777216,16777216
local,5,pooled_batch8,0.017,4,6,0,16777216,16777216
local,5,pooled_batch16,0.018,4,5,0,16777216,16777216
local,5,unpooled,0.026,16,16,0,16777216,16777216
local,5,pooled,0.018,4,16,0,16777216,16777216
local,5,batched,0.020,7,7,0,16777216,16777216
local,5,pooled_batched,0.016,4,7,0,16777216,16777216
local,6,pooled_batch16,0.015,4,5,0,16777216,16777216
local,6,unpooled,0.025,16,16,0,16777216,16777216
local,6,pooled,0.017,5,16,0,16777216,16777216
local,6,batched,0.019,7,7,0,16777216,16777216
local,6,pooled_batched,0.015,4,7,0,16777216,16777216
local,6,pooled_batch8,0.017,4,6,0,16777216,16777216
local,7,unpooled,0.024,16,16,0,16777216,16777216
local,7,pooled,0.020,4,16,0,16777216,16777216
local,7,batched,0.018,7,7,0,16777216,16777216
local,7,pooled_batched,0.016,4,7,0,16777216,16777216
local,7,pooled_batch8,0.017,4,7,0,16777216,16777216
local,7,pooled_batch16,0.016,4,6,0,16777216,16777216
local,8,pooled,0.019,4,16,0,16777216,16777216
local,8,batched,0.023,7,7,0,16777216,16777216
local,8,pooled_batched,0.025,4,7,0,16777216,16777216
local,8,pooled_batch8,0.017,4,6,0,16777216,16777216
local,8,pooled_batch16,0.017,4,5,0,16777216,16777216
local,8,unpooled,0.024,16,16,0,16777216,16777216
local,9,batched,0.020,7,7,0,16777216,16777216
local,9,pooled_batched,0.014,4,7,0,16777216,16777216
local,9,pooled_batch8,0.015,4,6,0,16777216,16777216
local,9,pooled_batch16,0.016,4,5,0,16777216,16777216
local,9,unpooled,0.027,16,16,0,16777216,16777216
local,9,pooled,0.020,4,16,0,16777216,16777216
local,10,pooled_batched,0.016,4,7,0,16777216,16777216
local,10,pooled_batch8,0.018,4,6,0,16777216,16777216
local,10,pooled_batch16,0.015,4,5,0,16777216,16777216
local,10,unpooled,0.025,16,16,0,16777216,16777216
local,10,pooled,0.022,4,16,0,16777216,16777216
local,10,batched,0.021,7,7,0,16777216,16777216
setup100_response25,1,unpooled,0.666,16,16,0,16777216,16777216
setup100_response25,1,pooled,0.328,4,16,0,16777216,16777216
setup100_response25,1,batched,0.409,7,7,0,16777216,16777216
setup100_response25,1,pooled_batched,0.278,4,7,0,16777216,16777216
setup100_response25,1,pooled_batch8,0.277,4,6,0,16777216,16777216
setup100_response25,1,pooled_batch16,0.275,4,5,0,16777216,16777216
setup100_response25,2,pooled,0.328,4,16,0,16777216,16777216
setup100_response25,2,batched,0.404,7,7,0,16777216,16777216
setup100_response25,2,pooled_batched,0.277,4,8,0,16777216,16777216
setup100_response25,2,pooled_batch8,0.276,4,7,0,16777216,16777216
setup100_response25,2,pooled_batch16,0.269,4,6,0,16777216,16777216
setup100_response25,2,unpooled,0.734,16,16,0,16777216,16777216
setup100_response25,3,batched,0.400,7,7,0,16777216,16777216
setup100_response25,3,pooled_batched,0.275,4,7,0,16777216,16777216
setup100_response25,3,pooled_batch8,0.267,4,6,0,16777216,16777216
setup100_response25,3,pooled_batch16,0.268,4,5,0,16777216,16777216
setup100_response25,3,unpooled,0.661,16,16,0,16777216,16777216
setup100_response25,3,pooled,0.327,4,16,0,16777216,16777216
setup100_response25,4,pooled_batched,0.273,4,7,0,16777216,16777216
setup100_response25,4,pooled_batch8,0.264,5,6,0,16777216,16777216
setup100_response25,4,pooled_batch16,0.269,4,5,0,16777216,16777216
setup100_response25,4,unpooled,0.669,16,16,0,16777216,16777216
setup100_response25,4,pooled,0.325,4,16,0,16777216,16777216
setup100_response25,4,batched,0.404,7,7,0,16777216,16777216
setup100_response25,5,pooled_batch8,0.273,4,6,0,16777216,16777216
setup100_response25,5,pooled_batch16,0.268,5,5,0,16777216,16777216
setup100_response25,5,unpooled,0.662,16,16,0,16777216,16777216
setup100_response25,5,pooled,0.329,4,16,0,16777216,16777216
setup100_response25,5,batched,0.405,7,7,0,16777216,16777216
setup100_response25,5,pooled_batched,0.277,4,7,0,16777216,16777216
setup100_response25,6,pooled_batch16,0.295,5,6,0,16777216,16777216
setup100_response25,6,unpooled,0.660,16,16,0,16777216,16777216
setup100_response25,6,pooled,0.323,4,16,0,16777216,16777216
setup100_response25,6,batched,0.411,7,7,0,16777216,16777216
setup100_response25,6,pooled_batched,0.270,4,7,0,16777216,16777216
setup100_response25,6,pooled_batch8,0.273,4,6,0,16777216,16777216
setup100_response25,7,unpooled,0.667,16,16,0,16777216,16777216
setup100_response25,7,pooled,0.325,4,16,0,16777216,16777216
setup100_response25,7,batched,0.405,7,7,0,16777216,16777216
