scenario,round,policy,seconds,connections,requests,unaligned_range_requests,server_body_bytes,validated_bytes
local,1,unpooled,0.113,16,16,0,16777216,16777216
local,1,pooled,0.080,4,17,1,16777216,16777216
local,1,batched,0.077,7,7,0,16777216,16777216
local,1,pooled_batched,0.076,4,8,0,16777216,16777216
local,2,pooled,0.062,4,16,0,16777216,16777216
local,2,batched,0.037,8,8,0,16777216,16777216
local,2,pooled_batched,0.032,4,8,0,16777216,16777216
local,2,unpooled,0.063,17,17,1,16777216,16777216
local,3,batched,0.073,9,9,1,16777216,16777216
local,3,pooled_batched,0.087,4,7,0,16777216,16777216
local,3,unpooled,0.096,16,16,0,16777216,16777216
local,3,pooled,0.052,4,16,0,16777216,16777216
setup100_response25,1,unpooled,0.768,17,17,1,16777216,16777216
setup100_response25,1,pooled,0.387,4,16,0,16777216,16777216
setup100_response25,1,batched,0.471,8,8,0,16777216,16777216
setup100_response25,1,pooled_batched,0.318,4,8,0,16777216,16777216
setup100_response25,2,pooled,0.382,4,16,0,16777216,16777216
setup100_response25,2,batched,0.447,9,9,0,16777216,16777216
setup100_response25,2,pooled_batched,0.303,4,8,0,16777216,16777216
setup100_response25,2,unpooled,0.722,16,16,0,16777216,16777216
setup100_response25,3,batched,0.473,9,9,2,16777216,16777216
setup100_response25,3,pooled_batched,0.310,4,8,0,16777216,16777216
setup100_response25,3,unpooled,0.729,17,17,1,16777216,16777216
setup100_response25,3,pooled,0.389,4,16,0,16777216,16777216
response100,1,unpooled,0.625,16,16,0,16777216,16777216
response100,1,pooled,0.561,4,16,0,16777216,16777216
response100,1,batched,0.406,9,9,0,16777216,16777216
response100,1,pooled_batched,0.415,4,9,0,16777216,16777216
response100,2,pooled,0.543,4,16,0,16777216,16777216
response100,2,batched,0.398,9,9,2,16777216,16777216
response100,2,pooled_batched,0.356,4,9,1,16777216,16777216
response100,2,unpooled,0.635,16,16,0,16777216,16777216
response100,3,batched,0.392,9,9,0,16777216,16777216
response100,3,pooled_batched,0.386,4,9,1,16777216,16777216
response100,3,unpooled,0.634,17,17,1,16777216,16777216
response100,3,pooled,0.647,4,16,0,16777216,16777216
close_setup100,1,unpooled,0.659,16,16,0,16777216,16777216
close_setup100,1,pooled,0.611,16,16,0,16777216,16777216
close_setup100,1,batched,0.400,9,9,1,16777216,16777216
close_setup100,1,pooled_batched,0.400,9,9,0,16777216,16777216
close_setup100,2,pooled,0.689,17,17,1,16777216,16777216
close_setup100,2,batched,0.393,8,8,0,16777216,16777216
close_setup100,2,pooled_batched,0.442,9,9,0,16777216,16777216
close_setup100,2,unpooled,0.629,17,17,1,16777216,16777216
close_setup100,3,batched,0.443,9,9,1,16777216,16777216
close_setup100,3,pooled_batched,0.437,9,9,0,16777216,16777216
close_setup100,3,unpooled,0.617,17,17,1,16777216,16777216
close_setup100,3,pooled,0.680,17,17,1,16777216,16777216
disconnect_weak,1,unpooled,0.236,17,17,0,17301504,16777216
disconnect_weak,1,pooled,0.204,5,17,0,17301504,16777216
disconnect_weak,1,batched,0.173,11,11,1,17301504,16777216
disconnect_weak,1,pooled_batched,0.123,5,8,0,17301504,16777216
disconnect_weak,2,pooled,0.213,5,17,0,17301504,16777216
disconnect_weak,2,batched,0.153,10,10,0,17301504,16777216
disconnect_weak,2,pooled_batched,0.161,5,13,1,17301504,16777216
disconnect_weak,2,unpooled,0.220,17,17,0,17301504,16777216
disconnect_weak,3,batched,0.143,12,12,0,17301504,16777216
disconnect_weak,3,pooled_batched,0.151,5,10,0,17301504,16777216
disconnect_weak,3,unpooled,0.245,17,17,0,17301504,16777216
disconnect_weak,3,pooled,0.212,5,17,0,17301504,16777216
disconnect_strong,1,unpooled,0.274,17,17,1,16777216,16777216
disconnect_strong,1,pooled,0.210,5,17,1,16777216,16777216
disconnect_strong,1,batched,0.163,10,10,1,16777216,16777216
disconnect_strong,1,pooled_batched,0.163,5,12,1,16777216,16777216
disconnect_strong,2,pooled,0.242,5,17,1,16777216,16777216
disconnect_strong,2,batched,0.167,10,10,1,16777216,16777216
disconnect_strong,2,pooled_batched,0.154,5,12,1,16777216,16777216
disconnect_strong,2,unpooled,0.260,17,17,1,16777216,16777216
disconnect_strong,3,batched,0.189,12,12,1,16777216,16777216
disconnect_strong,3,pooled_batched,0.166,5,10,1,16777216,16777216
disconnect_strong,3,unpooled,0.249,17,17,1,16777216,16777216
disconnect_strong,3,pooled,0.214,5,17,1,16777216,16777216
