scenario,round,policy,seconds,connections,requests,unaligned_range_requests,server_body_bytes,validated_bytes
local,1,unpooled,0.028,16,16,0,16777216,16777216
local,1,pooled,0.020,4,16,0,16777216,16777216
local,1,batched,0.018,7,7,0,16777216,16777216
local,1,pooled_batched,0.017,4,7,0,16777216,16777216
local,1,aria2,0.077,4,4,0,18677760,16777216
local,2,pooled,0.022,4,16,0,16777216,16777216
local,2,batched,0.029,7,7,0,16777216,16777216
local,2,pooled_batched,0.017,4,7,0,16777216,16777216
local,2,aria2,0.044,4,4,0,19005440,16777216
local,2,unpooled,0.034,16,16,0,16777216,16777216
local,3,batched,0.017,7,7,0,16777216,16777216
local,3,pooled_batched,0.016,4,7,0,16777216,16777216
local,3,aria2,0.041,6,5,0,20447232,16777216
local,3,unpooled,0.032,16,16,0,16777216,16777216
local,3,pooled,0.020,4,16,0,16777216,16777216
local,4,pooled_batched,0.016,5,7,0,16777216,16777216
local,4,aria2,0.036,4,4,0,19464192,16777216
local,4,unpooled,0.023,16,16,0,16777216,16777216
local,4,pooled,0.019,4,16,0,16777216,16777216
local,4,batched,0.020,7,7,0,16777216,16777216
local,5,aria2,0.039,5,4,0,21757952,16777216
local,5,unpooled,0.030,16,16,0,16777216,16777216
local,5,pooled,0.021,4,16,0,16777216,16777216
local,5,batched,0.020,7,7,0,16777216,16777216
local,5,pooled_batched,0.017,4,7,0,16777216,16777216
all_connections_300ms,1,unpooled,1.533,16,16,0,16777216,16777216
all_connections_300ms,1,pooled,0.620,4,16,0,16777216,16777216
all_connections_300ms,1,batched,0.933,7,7,0,16777216,16777216
all_connections_300ms,1,pooled_batched,0.625,4,7,0,16777216,16777216
all_connections_300ms,1,aria2,0.385,4,1,0,16777216,16777216
all_connections_300ms,2,pooled,0.619,4,16,0,16777216,16777216
all_connections_300ms,2,batched,0.927,7,7,0,16777216,16777216
all_connections_300ms,2,pooled_batched,0.623,4,7,0,16777216,16777216
all_connections_300ms,2,aria2,0.395,4,1,0,16777216,16777216
all_connections_300ms,2,unpooled,1.542,16,16,0,16777216,16777216
all_connections_300ms,3,batched,0.927,7,7,0,16777216,16777216
all_connections_300ms,3,pooled_batched,0.628,4,7,0,16777216,16777216
all_connections_300ms,3,aria2,0.388,4,1,0,16777216,16777216
all_connections_300ms,3,unpooled,1.534,16,16,0,16777216,16777216
all_connections_300ms,3,pooled,0.636,4,16,0,16777216,16777216
all_connections_300ms,4,pooled_batched,0.619,5,7,0,16777216,16777216
all_connections_300ms,4,aria2,0.364,4,1,0,16777216,16777216
all_connections_300ms,4,unpooled,1.541,16,16,0,16777216,16777216
all_connections_300ms,4,pooled,0.628,4,16,0,16777216,16777216
all_connections_300ms,4,batched,0.941,7,7,0,16777216,16777216
all_connections_300ms,5,aria2,0.425,4,1,0,16777216,16777216
all_connections_300ms,5,unpooled,1.530,16,16,0,16777216,16777216
all_connections_300ms,5,pooled,0.620,4,16,0,16777216,16777216
all_connections_300ms,5,batched,0.929,7,7,0,16777216,16777216
all_connections_300ms,5,pooled_batched,0.625,4,8,0,16777216,16777216
every_fourth_connection_1500ms,1,unpooled,1.531,16,16,0,16777216,16777216
every_fourth_connection_1500ms,1,pooled,1.515,4,16,0,16777216,16777216
every_fourth_connection_1500ms,1,batched,1.515,7,7,0,16777216,16777216
every_fourth_connection_1500ms,1,pooled_batched,1.519,4,7,0,16777216,16777216
every_fourth_connection_1500ms,1,aria2,1.067,5,7,0,20119552,16777216
every_fourth_connection_1500ms,2,pooled,1.518,4,16,0,16777216,16777216
every_fourth_connection_1500ms,2,batched,1.519,7,7,0,16777216,16777216
every_fourth_connection_1500ms,2,pooled_batched,1.516,4,8,0,16777216,16777216
every_fourth_connection_1500ms,2,aria2,1.084,5,7,0,19857408,16777216
every_fourth_connection_1500ms,2,unpooled,1.534,16,16,0,16777216,16777216
every_fourth_connection_1500ms,3,batched,1.520,7,7,0,16777216,16777216
every_fourth_connection_1500ms,3,pooled_batched,1.518,4,7,0,16777216,16777216
every_fourth_connection_1500ms,3,aria2,1.067,5,7,0,20054016,16777216
every_fourth_connection_1500ms,3,unpooled,1.540,16,16,0,16777216,16777216
every_fourth_connection_1500ms,3,pooled,1.512,4,16,0,16777216,16777216
every_fourth_connection_1500ms,4,pooled_batched,1.517,4,7,0,16777216,16777216
every_fourth_connection_1500ms,4,aria2,1.066,5,7,0,20250624,16777216
every_fourth_connection_1500ms,4,unpooled,1.544,16,16,0,16777216,16777216
every_fourth_connection_1500ms,4,pooled,1.518,4,16,0,16777216,16777216
every_fourth_connection_1500ms,4,batched,1.518,7,7,0,16777216,16777216
every_fourth_connection_1500ms,5,aria2,1.065,5,7,0,23724032,16777216
every_fourth_connection_1500ms,5,unpooled,1.532,16,16,0,16777216,16777216
every_fourth_connection_1500ms,5,pooled,1.515,4,16,0,16777216,16777216
every_fourth_connection_1500ms,5,batched,1.514,7,7,0,16777216,16777216
every_fourth_connection_1500ms,5,pooled_batched,1.515,4,7,0,16777216,16777216
first_connection_1500ms,1,unpooled,1.522,16,16,0,16777216,16777216
first_connection_1500ms,1,pooled,1.530,4,16,0,16777216,16777216
first_connection_1500ms,1,batched,1.528,8,8,0,16777216,16777216
first_connection_1500ms,1,pooled_batched,1.527,4,7,0,16777216,16777216
first_connection_1500ms,1,aria2,1.590,5,5,0,21561344,16777216
first_connection_1500ms,2,pooled,1.529,4,16,0,16777216,16777216
first_connection_1500ms,2,batched,1.582,8,8,0,16777216,16777216
first_connection_1500ms,2,pooled_batched,1.523,4,7,0,16777216,16777216
first_connection_1500ms,2,aria2,1.564,4,4,0,18284544,16777216
first_connection_1500ms,2,unpooled,1.526,16,16,0,16777216,16777216
first_connection_1500ms,3,batched,1.525,7,7,0,16777216,16777216
first_connection_1500ms,3,pooled_batched,1.524,4,7,0,16777216,16777216
first_connection_1500ms,3,aria2,1.564,4,4,0,19922944,16777216
first_connection_1500ms,3,unpooled,1.525,16,16,0,16777216,16777216
first_connection_1500ms,3,pooled,1.522,4,16,0,16777216,16777216
first_connection_1500ms,4,pooled_batched,1.525,4,7,0,16777216,16777216
first_connection_1500ms,4,aria2,1.577,4,4,0,18808832,16777216
first_connection_1500ms,4,unpooled,1.532,16,16,0,16777216,16777216
first_connection_1500ms,4,pooled,1.521,4,16,0,16777216,16777216
first_connection_1500ms,4,batched,1.526,7,7,0,16777216,16777216
first_connection_1500ms,5,aria2,1.580,4,4,0,19070976,16777216
first_connection_1500ms,5,unpooled,1.528,16,16,0,16777216,16777216
first_connection_1500ms,5,pooled,1.526,4,16,0,16777216,16777216
first_connection_1500ms,5,batched,1.524,7,7,0,16777216,16777216
first_connection_1500ms,5,pooled_batched,1.526,5,7,0,16777216,16777216
