scenario,round,policy,seconds,connections,requests,unaligned_range_requests,server_body_bytes,validated_bytes
local,1,unpooled,0.454,16,16,0,16777216,16777216
local,1,pooled,0.455,4,16,0,16777216,16777216
local,1,batched,0.450,7,7,0,16777216,16777216
local,1,pooled_batched,0.454,4,8,0,16777216,16777216
local,1,aria2,0.492,4,4,0,16842752,16777216
local,2,pooled,0.453,4,16,0,16777216,16777216
local,2,batched,0.453,7,7,0,16777216,16777216
local,2,pooled_batched,0.440,4,7,0,16777216,16777216
local,2,aria2,0.479,4,4,0,16842752,16777216
local,2,unpooled,0.449,16,16,0,16777216,16777216
local,3,batched,0.455,8,8,0,16777216,16777216
local,3,pooled_batched,0.442,4,7,0,16777216,16777216
local,3,aria2,0.466,4,4,0,16842752,16777216
local,3,unpooled,0.451,16,16,0,16777216,16777216
local,3,pooled,0.457,4,16,0,16777216,16777216
local,4,pooled_batched,0.444,4,8,0,16777216,16777216
local,4,aria2,0.478,4,4,0,16842752,16777216
local,4,unpooled,0.451,16,16,0,16777216,16777216
local,4,pooled,0.457,4,16,0,16777216,16777216
local,4,batched,0.450,7,7,0,16777216,16777216
local,5,aria2,0.484,4,4,0,16842752,16777216
local,5,unpooled,0.453,16,16,0,16777216,16777216
local,5,pooled,0.455,4,16,0,16777216,16777216
local,5,batched,0.447,7,7,0,16777216,16777216
local,5,pooled_batched,0.452,4,7,0,16777216,16777216
all_connections_300ms,1,unpooled,1.959,16,16,0,16777216,16777216
all_connections_300ms,1,pooled,1.049,4,16,0,16777216,16777216
all_connections_300ms,1,batched,1.461,7,7,0,16777216,16777216
all_connections_300ms,1,pooled_batched,1.048,4,7,0,16777216,16777216
all_connections_300ms,1,aria2,1.080,5,5,0,16842752,16777216
all_connections_300ms,2,pooled,1.049,4,16,0,16777216,16777216
all_connections_300ms,2,batched,1.466,8,8,0,16777216,16777216
all_connections_300ms,2,pooled_batched,1.052,4,7,0,16777216,16777216
all_connections_300ms,2,aria2,1.076,5,5,0,16842752,16777216
all_connections_300ms,2,unpooled,1.951,16,16,0,16777216,16777216
all_connections_300ms,3,batched,1.456,7,7,0,16777216,16777216
all_connections_300ms,3,pooled_batched,1.047,4,7,0,16777216,16777216
all_connections_300ms,3,aria2,1.240,5,5,0,16842752,16777216
all_connections_300ms,3,unpooled,1.961,16,16,0,16777216,16777216
all_connections_300ms,3,pooled,1.039,4,16,0,16777216,16777216
all_connections_300ms,4,pooled_batched,1.047,4,7,0,16777216,16777216
all_connections_300ms,4,aria2,1.074,5,5,0,16842752,16777216
all_connections_300ms,4,unpooled,1.959,16,16,0,16777216,16777216
all_connections_300ms,4,pooled,1.045,4,16,0,16777216,16777216
all_connections_300ms,4,batched,1.464,7,7,0,16777216,16777216
all_connections_300ms,5,aria2,1.135,5,5,0,16842752,16777216
all_connections_300ms,5,unpooled,1.959,16,16,0,16777216,16777216
all_connections_300ms,5,pooled,1.034,4,16,0,16777216,16777216
all_connections_300ms,5,batched,1.469,7,7,0,16777216,16777216
