scenario,round,mode,seconds,requests,tail_attempts,verified_bytes
normal,1,disabled,7.408,128,1,134217728
normal,1,adaptive,7.376,128,1,134217728
normal,1,hedging,7.381,128,1,134217728
normal,1,aria2,8.097,4,1,134217728
normal,2,adaptive,7.409,128,1,134217728
normal,2,hedging,7.085,128,1,134217728
normal,2,aria2,8.047,4,1,134217728
normal,2,disabled,7.113,128,1,134217728
normal,3,hedging,6.791,128,1,134217728
normal,3,aria2,8.051,4,1,134217728
normal,3,disabled,6.846,128,1,134217728
normal,3,adaptive,7.252,128,1,134217728
tail,1,disabled,42.355,128,1,134217728
tail,1,adaptive,10.224,132,5,134217728
tail,1,hedging,10.260,129,2,134217728
tail,1,aria2,10.473,5,2,134217728
tail,2,adaptive,9.962,132,5,134217728
tail,2,hedging,10.232,129,2,134217728
tail,2,aria2,10.405,5,2,134217728
tail,2,disabled,42.573,128,1,134217728
tail,3,hedging,10.137,129,2,134217728
tail,3,aria2,10.353,5,2,134217728
tail,3,disabled,42.180,128,1,134217728
tail,3,adaptive,10.090,132,5,134217728
